PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;;;;;;;;;;;
149;h;moll;76r;Aria;;;;;C;"[,a,,,c1] ,c/ ,e [,c,,,e1] [,c,,,c] | [,c,b,b1] ,e/ ,,e \
[,a,,,c1] ,c/ ,e | [ca,,,c1] [,ee,,a] [,cc{a}] [,aa{,a}] | \
[,,ec{,,a}1]> [,aa{,,,a}] [,ca{4}1] ,,a | [eca,,e/] ,c ,e c \
[,ea,a1] ,,,,a/ ,,,,c | ";;;;;;;;;;
150;h;moll;76v;Menuet;;;;;3;"[ba,,,c1] [ba,,a] [ba,,,c] | [c,c,c1] [cca{4}] [,ea{,,,a}] | \
[,ec,a1] [,,b,c{4}] ,,c/ [,,e{d}] | [,a,,,c/] ,c ,a ,,e ,,c1 | \
[ba,,,c1] [ba,,a] ,c/ b | ";;;;;;;;;;
151;h;moll;77r;Rondeau;;;;;3;",e1 ,,b | ,,c1 [,,e{,a}] [,,e,e{d}] | [,a,,,c1] [,c,c{,,a}/] \
,a ,,e ,,c | [,,b{,a}1] [,,c,c{a}] ,,b/ ,,c | [,,e{,a}/] {a} \
{,a} {,,a} {,,,a} ,a | ";;;;;;;;;;
152;h;moll;77v;Bourée;;;;;C;",e/ ,c | [,a,,,c1] ,,e/ ,a ,,c1 g | [fe{,a}1] ,g/ f ,e {,,a} \
[ge{,,,a}1] | [,f{,,a}1] ,c/ ,a [,,e{,a}1] ,e/ ,c | ";;;;;;;;;;
153;h;moll;78r;Gig;;;;;3;"[b,c,,c1]> ,e [,,e{d}1] | [,a,,,c1]> ,c [,e,,,a1] | [g,h{a}1]> \
i [g{,,a}1] | [,i,i{,a}1]> {,a} {,,a}1 | [,ea{,,,a}1]> c \
[ec{4}1] | [,a,,,c1]> ,,,,,e ,,,,a1 | [,cc{a}1]> ,e c1 | ";;;;;;;;;;
154;d;moll;78v;Partia;à;3;liut.;Violin.;Basso;N.4;-0;Allemande;;;;Conc_3403;C;",a/ | [,aaaa1] {,,,a}/4 ,,a ,,c ,,e [,af/] ,,,a ,,,c ,,a | \
,,,,a1 {,,,a}/4 ,,,,,a ,,,,,c ,,,,,e [,,,aa/] {,a}/4 ,,,,a \
[,,,,c{a}] ,,,,,a ,,,,a ,,,,c | ";;
155;d;moll;79v;Courante;;;;;3;"e/ a ,c | [aaa,a1] ,a/ ,d ,c ,a | ,,,e/ ,,e ,,,e ,,,c \
[,aaa1] | ,,,,c/ ,,,,a [,ca,,e1] e/ ,c | [aaa,a1] ,,,,c/ c \
,,,c c | ";;;;;;;;;;
156;d;moll;80v;Aria;;;;;3;"[eaa{,,,a}/] ,a | [fdf{,,,a}1] [fd] [cce{,,a}/] ,,e | \
[eca,,e1] e/ c [aaa,a] [bad,,a] | [ca,,,b1] [b,d,,a/] \
[c,b{a}] [ead{,b}] ,a | [fa{a}1] ,f/ {,a} [hf{,,a}/] f | ";;;;;;;;;;
157;d;moll;81r;Menuet;;;;;3;"[aaa{,,,a}1] a/ ,c ,a ,c | [aaa,a1] a/ c e1 | [fd,,,f1] \
[ec,,,d] [ca,,,b] | [a,d,,a1] a/ c a1 | [ca,,,b1] [a,d,,a] \
[,cb{a}] | [,aa{,a}1] ,a/ ,c ,a1 | ";;;;;;;;;;
158;d;moll;81v;Gig;;;;;3/8;"[aaa,a/]> c a/ | [,ca,,e/] e ,c | [,a,,,b/] ,,,,,a [,cb{a}] | \
[,,e,,a/] ,,c [,,a{a}] | [,aa{,a}/] ,,d ,a | [,,b{a}/] ,,d \
[,,a{,a}] | [c,d{,,a}/] a c | [e,d{,a}/] c a | ";;;;;;;;;;
159;d;moll;82r;Rondeau;;;;;3;"[aaa,a1] [,ca,,d] ,c/ a | [,a,a,b1] ,,,,,b/ ,,,,,a [,cb{a}1] | \
,,,,,a/ ,,e ,,,e {a} [,aa{,a}1] | [,ca,,e1] ,,a/ ,c ,a ,c | \
[aaa,a1] a/ ,c ,a \ | ";;;;;;;;;;
160;B;dur;82v;Partie;à;5;(Leuto;Chalumeau;Hautbois;Viole;d'amour;Basson);-0;Air;;;;Conc_2705;3;"V[,,baa{d}1] a [f,,,a/] ,a | [,bdc,d3/2] ,,,,a/ ,,,,,d ,,,,,b | \
V[,bd,,a1] [,,'da] [,a{d}/] ,,b | [,,'aa{,a}3/2] ,,b/ ,,d1 | \
[,ab{d}1] [,,'d,,a] [,a{d}/] ,,b | "
161;B;dur;83r;Gavotte;;;;Conc_2706;C;"[aa{d}1] f | ['e{,a}1] (c/ a) V[c{,,a}1] 'a/ ,b | V[,d{,,,a}1] \
(,b/ ,a) V[,b{4}1] a/ c | [,,d,,a/] ,b [,a{d}] ,,d \
[,,'d{,a}3/2] ,,,f/4 ,,d | ";;;;;;;;;;
162;B;dur;83v;Menuet;;;;Conc_2707;3;"[,,baa{d}1] ,a a | [,'a{d}1] (,,d/ ,,b) a1 | ([,b{4}/] ,a) \
(,,d ,,b) (,,a ,,b) | V[,,d{,a}1] (,,b/ ,,a) (,,,c ,,,a) | \
V[,,b{d}1] ,,,a ,a | ";;;;;;;;;;
163;g;moll;84r;Rigadon;;;;;C;",a1 | [,abc1] [,,ab] [,,bc] [c,b{a}] | [b,a,a1] ,,,,,d/ \
,,,,,b ,,,,,a1 [c,b{a}] | [,abc1] (,b/ ,a) [,,de1] [,ad,e] | \
[,,'b{a}/] ,,d ,a1 ,,,c [,aab] | ";;;;;;;;;;
164;B;dur;84v;Bourée;;;;Conc_2708;C;",,,a1 | V[,,baa{d}1] [,,baa] [,,baa] [,,d{,a}] | ([,a{d}/] \
,b) ,a1 [,,d,,a] [a{,a}] | ([,a{d}/] ,b) [,,d,,a1] [,a{d}/] \
,,d [,,'b] ,,a | [,,,'c{4}1] ,,,,,d ,,,c [,,a{,a}] | ";;;;;;;;;;
165;B;dur;85r;Guigue;;;;Conc_2709;12/8;"[,'a{d}/]> ,,d ,,b/ a/> c a/ [,f{,,a}/]> e f/ [e{a}/]> ,f \
a/ | [c{a}/]> e f/ [a,,,a/]> ,b [,a{d}/] [,,d{,a}/]> ,a ,b/ \
[,'a{d}/]> ,,d ,,b/ | ";;;;;;;;;;
166;B;dur;85v;Air;;;;;C;"[aab{d}1] [,,'a{,a}3/4] ,,,c/8 ,,a V[,,b{a}1]> [a{,,,a}] | \
[c{,,a}/4] e f/ c/4 e f/ ['e{,a}1]> [,ab{a}] | [,a{4}/4] \
,d c/ ,b/4 ,d c/ ['aa{,,,a}1] ,b/ ,a | ";;;;;;;;;;
167;B;dur;86r;Passapied;en;Rondeau;;;;;3;"f1 | [aab{d}2] (a/4 c e f) | [a{d}1] ,a ,,,f | V[,ba,,d1] \
,b [,a{d}] | [,,'de{,a}2] [,a,,,b1] | [,,,c{,,a}2] (,,,c/4 \
,,a ,,b ,,d) | ";;;;;;;;
168;C;dur;86v;N.6.;Partia;à;3;(Liuto;Violino;Basso);de;Weichenberger;-0;Allemande;Weichenberger;;;;C;",,d/ | [,,dccd1] [,,,c{4}/4] (,,a/8 ,,,c) ,,a/4 ,,,c \
[,,,ac{,,,a}/4] [,,,,'a] ,,,,,d [,,,,,'c] ,,,c {a} ,,,,d | \
[,,,,'cd/] {4} [,c,,,d] (a/8 ,c) a/4 ,,,,a"
169;C;dur;87v;Courante;Weichenberger;/;Bohr?;;;Conc_3782;3;",,,c/ ,,a ,c | [,,d,,d1] {4}/ ,a ,c ,,,,,d | ,,,,,c/ c ,,,,,a \
,,d c b | V[c{a}3/2] c/ e ,c | ,,,,a/ (a/4 ,c) a/ ,,a ,,c c | ";;;;;;;;
170;C;dur;88r;La;petite;Bourée;Weichenberger;/;Bohr?;;;Conc_3739;C;",,d/ ,a | V[,c,,,d1] ,,,c ,,d [,,'ca{a}] | V[,,d,c{4}1] \
{a} ,,,,,d [,a,,,c] | V[,c,,,d1] [,'a,,,c] [,c,,,d/] (a/4 ,c) \
a/ ,c | [,'a{a}1] ,,,c2 [,ac{a}1] | ";;;;;;
171;C;dur;88v;Menuet;Weichenberger;;;Conc_2264;3;"[ccd{4}3/2] ,d/ [,'c] ,a | [,,d,,d1] ,a [,,'c{a}] | V[,,d,,d/] \
,a ,c1 [aVd,,a] | [,'a,c3] | [,ac{a}1] [,cd] [aa{,a}] | \
[cc{,,a}1] (,,,,c/ ,,,,a) (,,,,,d ,,,,,c) | [,,dc{,a}1] [,ac] \
[,cd{,,a}] | ";;;;;;;;;;
172;C;dur;89r;Trio;Weichenberger;;;;3;"[,cd,,d2] [,,'cc{a}1] | V[,,d,,a2] [,,,c{,,a}1] | \
[,,ac{,a}1] [,,,c{,,a}] [,,ac{,a}] | [,,,'a{,,,a}3/2] \
,,,,c/4 ,,,a [,,,,c{4}1] | V[,cd,,d2] [,'a,,,c1] | [,,'d,,a2] \
[,,cc{a}1] | ([,,d,,a/] ,,c) [,,'a,a1]> ,a | [,,'c{a}3/2] \
(,,a/4 ,,c) ,,,c1 :| ";;;;;;;;;;
173;C;dur;89v;La;Grande;Guig;Weichenberger;/;Bohr?;;;Conc_3722;6/8;",,,c/ | ([,,,,c{4}/] ,,,,a) ,,,,,d ,,d ,a ,,d | \
[,,'c{a}1] ,,,,a/ ,,,c1 ,,d/ | ([,,a{,a}/] ,,c) ,,a \
V[,,,c{,,a}] ,,a ,,,c | ([,,,a{,,,a}/] ,,,c) ,,,a [,,,,'c{4}1] \
,,,c/ | ";;;;;;
174;G;dur;90v;Parthia;3tia;-0;Entree;;4;=;B;;;C;",a1 | [,,'c{a}3/2] ,,a/ ,,c1 ,,d | [,,'a{a}3/2] ,,a/ ,,c ,,d \
,a ,,,b | V[,,,c{,,a}3/2] ,,,b/ [,,,c{a}1] ,,a | [,,,'b{,,,a}2] \
,,,,a1 [,,,c,c] | [,,a,,d3/2] ,,a/ [,,a{,a}] (,,c ,,d) ,a | ";;;;;
175;G;dur;91r;Courente;;4;=;B;;;3/4;"(c/ b) c | ,,c/ c ,,a c ,,,,a/ ,,d | {a}/ (,,d ,,c) (,,a ,,c \
,,d) | {,a}/ (,,a ,,c ,,d) ,a ,,,b | ";;;;;;;;
176;G;dur;91v;Sarabande;;4;=;B;;;3;"[c{a}/]> ,,c | [,,dc{a}3/2] ,,d/ [ea{,,a}3/4] ,,d/4 | [,,'d{a}1] \
,,c ,c/> c | [,,ee{a}1] ,,e/ [,ae{,a}/]> ,a | [ca{,,a}/]> ,a \
[,,e,,a/]> ,e (c/ e) | ['b{,,,a}1]";;;;;;;;
177;G;dur;91v;Capprice;;4;=;B;;;C;",a1 | ([,,c{a}/] ,,a) ,,c ,,,c [,,d,,a] (,,c ,,d) ,,a | \
[,,c{a}1] ,,,c ,,,c ,,c | [,,'a{,a}/] ,,,c ,,a ,,,b \
[,,c{a}] ,,,c ,,c ,,,c | ";;;;;;;;
178;G;dur;92v;Menuet;;4;=;B;;;3/4;"[c{a}1] (,,c/ ,,d) ,a1 | ,,,c1 ,,,,c/ ,,,,,d ,,,,a1 | \
[,,,,a{a}1] ,,,c [,,a{,a}] | V[,,c{a}1] ,,,,,c [,,a,a] | \
[,,,,a{a}1] ,,,c [,,a{,a}] | V[,,c{a}1] ,,,,,c [,,a,a] | ";;;;;;;;
179;g;moll;92v;Trio;;4;=;B;;;3/4;"([,a{a}1] ,b) ,a | [,a{,a}1] e ,a | [,,d{,,,a}1] ,a/ ,,d \
(,,b ,,a) | [,,bc1] ,,,a ,,,,b | [,d,,a1] (,b/ ,a) (,,d ,,b) | ";;;;;;;;
180;G;dur;93r;Bourée;;4;=;B;;;C;",a1 | [,,c{a}1] [,,'d,,a] [,a,,,c] ([,,d{a}/] ,,c) | \
V[,,d,,a1] {a} ,,,,,a [,,c,,a] | [,,a{,a}1] [,,c{a}] [,,d,,a] \
(,,c/ [,,a{,a}]) | V[,,c{a}1] ,,,,,a ,,,,,c ,a | [,c,,,d1] \
,,,c [,a,,,c] ,,,c | ";;;;;;;;
