PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;;;;;;;;;;;
34;F;dur;15v;Courant;E.Reusner;;;Conc_1499;3;"a/ | [ada{,a}1] ,d/> [,'c] ,a1 | [,,d,,a1] ,,a/ ,,,,,b ,a1 | \
,,,,,a/ ,,d [,,'b{a}1]> ,,a | [,,aaa3/2] ,,d/ [,,'b] ,,a | \
[,,,c{,,a}1] ,,,,,d/> ,,b | ";;;;;;;;;;
35;F;dur;16v;Sarabanda;;;;Conc_3915;3;"[ad{,a}1] ,h1> g | [h{,,a}1] ,f/ h 'f1 | [,h{,a}1] \
['c,,,,c1]> ,d | [,c,,,d1] {4}2 | [ad{,a}1] [,'aa1]> ,,d | \
[,,c{a}1] [,,c,d] ,,,,a | [,,dcc1] [,,'da{a}1]> ,,c | \
[,,d{4}1] [,,dccd2] :| ";;;;;;;;;;
36;F;dur;17r;Gavotte;;;;;C;"[ada{,a}1] ,,d/ ,,b [,,'a{,a}/]> ,,,c ,,,a/ a | [c,d{,,a}/]> \
c e/4 f e f [ed{,a}1] e/ f | [c,d{,,a}1] [c,d/] e [a,d{,,,a}1] \
,,d/ a | ";;;;;;;;;;
37;F;dur;17v;Menuet;Ginter;;;Conc_1419;3;"[,,aa{,a}1] ,,a/ ,,,c ,,,a1 | [,,dc{,,a}1]> ,a ,c1 | \
[a,d{,,,a}1] ['a,c3/2] ,c/4 a | [c{4}/] a ,c ,a ,,d ,,b | \
[,,aa{,a}1] [,,'a/] ,,,c ,,,a1 | ";;;;;;;;;;
38;F;dur;18r;Bourée;;;;;C;",,d1 | [,,aa{,a}1] ,,,c/ ,,,a [,,,c{,,a}1] ,,d | [aad{,,,a}1] \
(,,b/ ,,a) ,,b1 c | [,c{4}1] ,d c e | [ccd{4}1] [ccd] [cc] \
,,d | ";;;;;;;;;;
39;F;dur;18v;Gavotte;;;;Conc_511;C;",,a1 | [,,aa{,a}1] ,,,a ,,d ,d | [,cd{4}1] ,,,,,b/ ,a \
[,,da,a1] [a,d] | [c,b{a}1] [e,d{,a}] [fa{a}] [hf{,,a}/] ,f | \
[,h{,a}1] a [ccd{4}] e/ c | ";;;;;;;;;;
40;F;dur;19r;Menuet;Losy?;;;Conc_3533;3;"[,,de{,a}1] ,,f/ ,,d ,,,f ,,,e | [,,ba{a}1] {4} [,,b,c] | \
[,,aad1] ,,,,,a ,,,,,b/ ,,a | ,,,c/ ,,,a ,,,,c ,,,,a ,,,,,d1 | \
[,,de{,a}1] ,,f/ ,,d ,,,f ,,,e | ";;;;;;;;;;
41;F;dur;19v;Guigue;;;;;3;"{,a}1 [,,aa] ,,b | [,,dc{,,a}1] ,a ,c | [ad{,,,a}1] c e | \
[,,b{a}1] c ,d | [,c{4}1] ,,d ,,b | [,,aa{,a}1] ,d ,c | \
[,a{b}1] ,c [,dd,,a] | ";;;;;;;;;;
42;F;dur;20r;Gavotte;;;;Conc_2791;C;"[ada{,a}1] [ad/] c [,c,,,d] ,,,,a ,,,,,d ,,,,,b | \
,,,,,a/ a {a} c [ed{,a}1] [ed] | [fa{a}3/2] h/ ,,,,,a a \
,,,,,b/ c | ";;;;;;;;;;
43;F;dur;20v;Bourée;Losy;;;Conc_1411;C;"a/ c | [e{,a}1] [,,d,,a] [,a,,,b/] ,,,,,a {a} ,c | [ad{,a}1] \
,,,a [ad] [c,d{,,a}] | [e,d{,a}1] [c,d{,,a}] [e,d{,a}/] {,,a} \
{,,,a} g | ";;;;;;;;;;
