PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;deuNotes;engNotes
149;F dur;156r;Gigue Angloise;;;;Conc_2794;3;",,d1 | [aVda{,a}1]> c a1 | [aVda{,a}2] [,,da,a1] | \
[,ad,,b1]> ,b ,a1 | [,,da,a1]> ,,b ,,a1 | [,,ba{a}1]> \
,,d ,,b1 | [,,'a{,a}1]> ,,,c ,,,a1 | {4}1 [,,,cc] ,,,,,d | \
[,,,cc2] :| ";;
150;F dur;156v;Courante;Losy;;;Conc_2600;3;"a1 | [aVd{,a}1]> ,d [,c{a}/] ,a | ,,,,,a/ ,,d ,,,a ,,d ,,b \
,, | ,,,,,b/ ,a ,,,,,d ,a ,,d ,,b | ,,,,a/ ,,,a ,,a ,,,,a \
,,,,,d ,,,,,b | ";;
151;F dur;157v;Menuet;;;;;3;"[add{,a}1] c/ a [,'c{4}1] | [ad{,,,a}1] [,'c/] ,a [,,da,a1] | \
[,a,a,b1] ,c/ ,a [,,dc{,,a}] ,,b | [,,'aa{,a}3/2] ,,,c/4 ,,a \
,,,a1 | [add{,a}1] c/ a [,'c{4}1] | ";;
152;F dur;158r;Bourée;;;;Conc_2795;C;",,d1 | ,d1 c e [,,d{4}] | [,,d{,a}1] [,,d{a}] [,,d,,a] ,a/ \
,,a | V[,,b{a}1] {,a} {,,a} ,,d/ ,,b | [,,'a{,a}3/2] ,,,c/4 \
,,a ,,,a1 ,,d | ,d1 c e [,,d{4}] | ";;
153;F dur;158v;Bourée;;;;Conc_3323;C;"[,,da{,a}1] | [,a,a,b1] [,,d,,a] [,a,a,b] [,cb{a}] | \
[,da{,a}/] ,c ,d c ,d1 [,,da,a] | [,a,a,b1] [,,d{,a}] \
[,,'b,c{a}] [,,a,d{,a}] | [,,,cc{4}/] ,,,a ,,,c ,,,e \
[,,,cc1] [,,dc{,,a}] | [,,a{,a}1] [,aa] [,,cc{a}] ,c | ";;
154;F dur;159r;Menuet;;;;Conc_2407;3;"[,,d{,a}1] a [,cb{a}] | [add,,a2] [add1] | [c,d{,,a}1] \
'c3/2 ,c/4 c | [e{,a}/] c (e f) e1 | [c,,,c1] ['a,,,a] \
[,c,,,d] | [,a,,,c1] {a}/ ,c [,,d,,a1] | [,aa{,a}1] \
[,,'c,a{,a}1]> ,,d | ";;
155;F dur;159v;Retirade;;Tournez vistement;;;C;"[aVd{,a}1] [c,d{,,a}] [e,d{,a}] ,d | [,,dc{,,a}/] ,a [,,d{4}] \
,,b [,,'a{,a}1]> ,,,a | [aVd{,a}1] [c,d{,,a}] [e,d{,a}] ,d | \
[,,dc{,,a}/] ,a [,,d{4}] ,,b [,,'a{,a}1]> ,,,a | ";161r-v rastriert, aber unbeschrieben. 162r-v Leerseiten.;161r-v gridded, but not used. 162r-v empty pages.
;;;L'accord francaise se change en ce [F#] du Ton G avec la tierce dure;;;;;;;;
156;G dur;163v;Prelude;;1;;;C;"{a}/ ,,,c ,,c ,a c ,a ,,c ,,,c {,a} ,,a ,a ,c [,#a] ,,d/4 ,a \
{a}/ ,,c ,,,c {,a} {,,a} ,,d ,,,,c ,c Ve c";;
157;G dur;164v;Sarabande;;2;;Conc_1443;3;"[,,'cc{a}1]> ,,a ,,,c1 | [,aa{,a}1] [,,#d{,,a}1]> ,,d | \
[,,db{,,,a}3/2] ,a/4 ,,d [,,'cc{,,a}1] | V[,,d{4}/] ,,c \
[,,#a{,,,a}3/2] ,,,c/4 ,,a | [,,,c{a}1] [,,cc1]> ,,c | \
[,,ac{,a}1] [,aa1]> ,a | [c,c{,,a}1]> [c,c] [c,e1] | ";;
158;G dur;165v;Aire;;3;;;C;"[,,cc{a}/] ,,a V,,c ,,d [,a,c,c1] {,a}/ ,,a | V[,,c{a}1] \
[,,#a{4}/]> ,,,c [,,,'b{,,,a}1] V,,,,c/ ,,,,a | {,,a}/ Vc \
,,e c {,a} V,e {a} ,c | ";;
159;G dur;166v;Trezza;;4;;;2/4;"[,acc{a}1] [,acc] | V[,c,,,d1] [,#a{,a}/]> ,,d | [,,cc{a}1] \
V[,,d,,a/] ,a | [,,'cc{a}1] ,,,,a | [ec,,,e1] ,c | V[,e,,a] \
[,#c{a}/]> ,a | [,,'e,,a1] ,c/ ,c | [,aaba2] :| ";;
160;G dur;167v;Menuete;;5;;Conc_2861;3;"[,ac{a}1] [,ac{,a}] [,#a/]> ,,d | [,,cc{a}1] [,,'c/]> ,,a \
,,,c1 | [,aa{,a}1] V[,c{,,a}] Ve/ c | [,ea{a}/] c ,e ,c \
[,#a1] | V[c{,,a}1] #c3/2 ,e/4 c | ";;
161;G dur;168v;Bourée;;6;;;C;"[,#a/]> ,,d | [,,c{a}1] ,,,,a ,,c/ ,,a V,,c ,,d | \
[,,ab{,,,a}1] ,,,,a [,,ab] [,#a/]> ,,d | [,,c{a}1] \
V[,,d{4}/] ,,c [,,#a{,,,a}3/2] ,,,c/4 ,a | V[,,cc1] {a} ,,,c";;
162;G dur;169v;Gigue;;7;;Conc_2427;3/8;",a/ | [,,cc{a}1] ,,,c/ | [,a,,a1] V,d/ | [,,'cc{a}1] \
,,,,,a/ | ,,,,,c1 V[ca/] | V[,c,,,d1] [,a,,,c/] | [e,d,,a1] \
#c/ | V[,e{,,,a}1] [,c{,,a}/] | [,#aa{,a}1] Ve/ | ";;
163;G dur;170v;Aire;;8;;;C;",/4 ,a/4 ,,d ,a | V[,cd1] [,,d,,a] [,a,,,c] [,,c{a}] | \
V[,,d,,a1] [,aa{,a}] [,,cc{a}] [,aa{,a}] | V[,,dc{,,a}1] \
[,,cb{,,,a}] [,,#a{4}1]> ,,,c | [,,,'b{,,,a}1] ,,,c/ ,,a \
,,,,a1";;
164;G dur;171v;Menuete;;9;;;3;"[,,c{a}1] [,,#a{,a}2] | [,,cc{a}1] ,,c/ ,,a ,,,c ,,a | \
[,,,'b{,,,a}1] ,,,b/ ,,,c ,,a1 | [,,cc{a}1] ,,c/ ,,d \
[,aa{,a}1] | V[,c{,,a}/] ,a ,,d (,,c ,,a) ,,,c | ";;
165;G dur;172v;Bourée;;10;;;C;",,d/ ,,c | [,ac{a}1] ,,c/ ,,d [,ad,,c1] [,,,'ba{,,,a}] | \
[,,,cc1] {,,a} [,,,cc] [,,,c,c] | [,,,c,d1] [,,d,,a] \
[,,'cc{a}] V,,d/ ,,c | [,,aba1] {,,,a} [,,aba] ,,d/ ,,c | \
[,ac{a}1]";;
166;G dur;173v;Menuete;;11;;;3;"[cac{a}1] c/ (b c1) | [,a,,,c1] V[,c,,,d] [,,d{a}] | \
V[,,d,,a1] ,,,,e/ ,,a ,a ,,d | [,,cc{a}/] ,,d V,,c ,,a \
,,,c1 | [cac{a}1] c/ (b c1) | ";;
167;G dur;174v;Bourée;Losy;12;;Conc_1219;C;"#c/> ,e | [ca{a}1] ,a [,,cc] V,c | [,,de,a1] ,,,,e/ ,a \
[,,'cc{a}1] ,,,c/ {,a} | {,,a}1 ,e/ c [,,'e,,a3/2] ,a/4 \
,,e | [,aVf1] {,,,a} ,,,,a :| ";;
168;G dur;175v;Gigue;;13;;Conc_47;3/8;",a/ | [c{a}/]> e c/ | V[,e,,,a/]> ,c ,a/ | [,c,,,d/]> ,d \
,c/ | [,a,,,c/]> ,,d ,,c/ | V[,,d,,a/]> ,a ,,d/ | [,,'c{a}/]> \
,,a ,,,c/ | [,,,'b{,,,a}/]> ,,,c ,,a/ | ,,,,a1 [,aa/] | ";;
169;G dur;176v;Sarabande;;14;;Conc_4113;3;"V[kVk{a}1] [,h{,a}1]> h | V[,k{a}1] [,a,,,c1]> ,a | \
V[,c,,,d1] [,#aa{,a}1]> ,,d | V[,,c{a}1] [c,c2] | [ea,,e1] \
[#c,,,c1]> Ve | [,ea,a/] c V[,ca,,e1]> e | [,a{,a}] {a} \
[,#aa,,a3/2] ,,e/4 ,a | ";;
170;G dur;177v;Aire;;15;;Conc_2841;C;"[cac{a}1] [cac] [ea,,e] V[ga{a}] | [#e{4}1]> ,f [,'e{,,,a}] \
,f/4 e V,,f/ ,,,,,d | ,,,,,c/ ,a Vc a V[,c,,,d1] ,,,,,c/ ,a | \
[,,d,,a1] [,,'c{a}/]> ,,a [,,ab{,,,a}1] ,,,,a | ";;
171;G dur;178v;Canarie en Echo;;16 - Tournés Vistement - 17 - Du commencement;;;3/4;"""haut"",a/ | [ca{a}/]> e c/ [,e,,a/]> ,c ,e/ | [,f{a}3/2] ,1 \
,a/ | ""bas""c/> e c/ ,e/> ,c ,e/ | [,f{a}3/2] ,1 ""haut"",a/ | \
[ca{a}/]> e c/ [,ea,a/]> ,c ,a/ | ";;
172;G dur;180v;Menuete;Losy;18;;Conc_1218;3;"[,,,c{a}1] [,,#a{,a}] ,,,c/ ,,a | V[,,c{a}1]> ,,c \
[,,#a{,a}1] | V[,,c{a}1] [,,'e{,,a}1]> ,a | [,a{,,,a}/] ,,e \
,a ,c [,#a1] | [,,,c{a}1] [,,#a{,a}] ,,,c/ ,,a | \
V[,,c{a}1] ,,c [,,#a{,a}1] | ";;
173;G dur;181v;Gavotte;;19;;Conc_1445;C;"[ca{a}1] V[ea{,a}] V[g{a}] [#e{,a}/]> ,e | V[,f{,,a}/] g #e/> \
,f [,'e{,,,a}/] (,c ,a) ,,d | ,,,,,c/ ,a Vc Ve V[,c,,,d1] \
[,ad,,c] | [,,d,,a1] [,ad{,a}/] ,,d [,,'cc{a}1] ,,,c/ {,a} | ";;
174;G dur;182v;Menuete;;20;;Conc_4114;3;"{a}/ ,,a ,,c ,,d ,a1 | [,ac{a}1] V[,ca,,d2] | [,#aa{,a}1]> \
,,d [,,c{a}1] | V[,,d{4}/] ,,c [,,#a{,,,a}1]> ,,a | \
V[,,c{a}/] ,,a ,,c (,,d ,,c) ,,a | ";;
175;G dur;183v;Bourée;;21;;Conc_3652;C;"[,#a/]> ,,d | [,,'c{a}1] ,,,,,a/ ,,d [,a,,,c1] V[,c,,,d] | \
V[,e,,a1] ,,,,c/ c [e,,,e1] [,#a/]> ,,d | [,,'c{a}1] {,a}/ \
,,a [,,,c{,,a}1] V[,,,e{4}/] ,,,c | [,,,'b{,,,a}1] ,,,,a \
[,,aba]";;
176;G dur;184v;Gigue;Losy;22;;Conc_1217;3/8;",,,c/4 ,,a | [,,'c{a}/]> ,,a ,,,c/ | V[,,d,,a/]> ,,c ,,a/ | \
[,a,,,c/]> ,,d ,,c/ | V[,c,,,d/]> ,a ,,d/ | [,e,,a1] \
[c,,,c/] | [e,,,e1] [g,,f/] | #e1 ,,,,e/ | {,,,a}1 :| ";;
177;D dur;185v;Courante des forgerons ex D;Losy;23;;Conc_1378;3;"[,,ece{,,,a}2] [,,'e,,a/]> {a} | [,aa{,a}2] [,c{,,a}1] | \
[,e,,a1] [c,,,c] [e,,,e] | [,'e,,a1] ,a [e,,,e] | ,,,,c/ ,a c \
,,e ,,,,a ,e | ,,,,,e/ ,,a ,c ,e ,,,,,c ,a | ";;
178;G dur;186v;Allamande;;24;;;C;"c/ | [cac{a}/]> ,a ,c/ ,,c [,,de{,a}/] ,a/4 ,c [,'aa,e/]> \
,,d | [,,c{a}/] [,,c,,c/4] [,,a,,d] [,,a,,e/] ,,c/4 ,,d \
[,,'a{,,,a}/]> ,,,c [,,,ca{a}/] ,,c/4 ,,d | ";;
179;G dur;187v;Courante;;25;;Conc_4026;3;",,,c1 | [,,,c{a}1] ,,a/ ,,,c/4 ,,a ,,c1 | {,a}/ ,,,,a ,,a \
,,c ,,d ,a | {a}/ ,,c ,,,c1 ,c/ ,,,c | ,,,,e/ ,a [c,c,c1] \
[,,'e] | ";;
180;G dur;188v;Aria;;26;;Conc_2862;C;"c1 | [cacc{a}1] ,a [,'aa{,a}] ,,d | [,,c{a}/] ,a [,,d{4}] \
,,c [,,'a{,,,a}1]> ,,c | [,,,c{,,a}1]> ,,d [,,d{,a}] ,a \
[,,c{a}] ,,d | [,,'a{,,,a}1]> ,,,c [,,,ca{a}1] :| ";;
181;G dur;189r;Menuete;;;;Conc_3763;3;"[,acc{a}1] [,'aa{,a}1]> ,a | [,a,c{,,a}1] (,a/4 ,c ,e/) c1 | \
[,,dc,a1] [,,dba] [,,cc{a}] | [,,a{,,,a}/] ,,,c ,,a ,,c \
,,a1 | [,ac{a}1] [,'aa{,a}1]> ,a | [,a,c{,,a}1] (,a/4 ,c \
,e/) c1 | ";;
182;G dur;189v;Bourée;;27;;;C;"c/> ,e | c1 {a}/ ,,,,,a [ca,,,c1] [,c,,,d] | [,e,,a1] \
[c,,,c] ,,,,e/ e ,a1 | [g,,,f1] [e,,,e] [c,,,c] [e,,,,a/] \
c | [,ea,a1] {,,,a} [,ea] c/> ,e | c1";;
183;G dur;190r;Sarabande;;;;;3;"[gf{a}1] [ea{,a}] [g{a}] | [,k{,a}1] [,'a,,,c1]> ,a | \
[,c,,,d1] [,'aa{,a}1]> ,,d | [,,c{a}1] [cac2] | [ea,,e1] \
['c,,,c1]> e | [,ea,a/] c [,ca,,e1]> e | [,a{,a}/] [,c{a}] \
[,'a,,,a1]> ,,e | ";;
184;G dur;190v;Rondeau;;28;;Conc_3764;3;",a1 | [,,'c{a}1] ,,,c [,c,,,d] | [,'a,,,c2] c1 | [,,dc,a1] \
[,,,'b1]> ,a | [,,'cc{a}2] [,a,b1] | [,,,cc1] ,,,,,d \
[,,d,,a] | [,,,'b1] ,,,,a [,ad,,c] | [,,d,,d/] ,,c [,,'aba3/2]";;
185;G dur;191r;Aria;;;;Conc_2841;C;"[cac{a}1] [cac] [ea,,e] [ga{a}] | [e{4}1]> ,f [,e{,,,a}1] \
[e,f] | [,a,,,c1] c/ a [,c,,,d1] [,a,,,c] | [,,d,,a1] \
[,,c{a}/] ,,d [,,'a{,,,a}1]> [,,ab] | [cac{a}1] [cac] [ea,,e] \
[ga{a}] | ";;
186;G dur;191v;Menuete;;29 - Du commencement;;;3;"[,ad,,c1] {a} [,c,,,d] | [,ad,,c/] ,,,,,a {a} ,,,,,a ,,,,,c \
{a} | [,,dc,a1] [,,'db{,,,a}1]> ,a | [,,,c{,,a}1] ,,d2 | \
[,,,b{,,,a}1] ,,c2 | {4}/ ,,,,c ,,a ,,c ,,a ,,,c | ";;
187;G dur;192v;Menuete;;30;;Conc_2843;3;"[,,,c{a}1] (,,,c/ ,,,b) ,,,c1 | [,,,b{,,,a}1] {,,a} {,a} | \
[,,,c{a}1] ,,,c/ ,,,b ,,,c1 | [,,a{,a}1] {a} ,,,,,a | \
[,,c{a}1] ,,c/ ,,d ,a1 | [,,d,,a1] [,,c{a}] [,,a{,a}] | ";;
188;G dur;193r;Rondeau;;;;Conc_3852;3;"['c{a}1] [c{,a}] | ['c{,,a}1] ['c{,,,a}] [c{4}] | [c,,,,c1] \
[c,,,,a] [c{a}] | [e,,,,e1] ['e{,,,a}3/2] ,f/4 e | [g{a}1] \
g [e{,a}] | [c,,,c1] [b,,,a1]> [,c,,,d] | [,a,,,c1] ,,,,,a/ \
,,d [,,'c{a}1] | ";194r-v Leerseiten.;194r-v empty pages.
;;;L'accord francaise se change en ce [Eb] du Ton G avec la tierce molle;;;;;;;;
189;g moll;195v;Prelude;;1;;;C;"{a}/ ,,,,a ,,,c V,,b ,a Vc e f 'e ,f/4 e [,'e,,a/] ,,d ,a \
,,d [,,#b] ,,a {a} ,,b ,,,c ,a V,b ,d";;
190;g moll;196v;Aire;;2;;;C;"[,ff{a}/] ,h f Vh V[,h{,,,a}1] V,,f | [,fg{,,a}/] ,h f Vh \
V[k{,,,a}1] V[k,Vk] | [h,f,e1] #f/> ,h [fh,,f1] [,#f] | \
[,h,h/] [f,f] [,h,h] [,f,f] [eeVf{,,,a}1] ,,,,,f :| ";;
191;g moll;197v;Gavotte;Losy;3;;Conc_2869;C;"[,,ff{a}/]> ,f e/ f | ['e,d,,a1]> ,f [,'e,e/]> ,e V,f/ e | \
[,aVb{d}/]> {d} ,,,,,d/ ,,,,a {,b}/> ,,a ,a/ ,,d | \
[,,#b{a}/]> ,,a ,,,c/";halbtaktig verschoben = kein Auftakt;no off-beat, shifted by half a bar
192;g moll;198v;Menuete;;4;;;3;"{a}/ ,,a V,,b ,,d ,a ,,a | V[,,bcv1] ,,,c [,aa{,a}] | \
[,a,c{,,a}/]> ,a V,b1 ,,d | [,ad{,,,a}/] (,b ,a) (,,d ,,b) \
,,a | {a}/ ,,a V,,b ,,d ,a ,,a | ";;
193;g moll;199v;Bourée;;5;;;C;"[,'a/]> ,,d | V[,,bc{a}1] [,,,'ba/] ,,,,,d [,,,cab1] \
[,,ac{,b}] | V[,,bc{a}/]> ,,a ,,,c/ ,,,,,a ,,,,,b ,a Vc a | \
V[,b,c,d/] ,,a [,aVb,a] ,,,,b {,a} ,,b [,,'a/]> ,b | ";;
194;g moll;200r;Echo;Losy;Tournez Vistement - 6;;Conc_1418;3;"""haut"",a1 | [cab{a}1] c [ea,,e] | V[fa{a}2] ""bas"",a1 | \
[cab{a}1] c [ea,,e] | V[fa{a}1]> f ""haut""['e{,a}1] | \
V[,f{,,a}1] e/> ,f [,#d{,,,a}1] | [,#b{4}1]> ,a [,aVb{d}1] | \
{,b}/ ,,a ,a ,a ,,d ,a | ";;
195;g moll;201v;Courante;;7;;;3;",a1 | [cab{a}1] [cab] e/> f | ['e{,,,a}/]> c [ba,,a1] \
[ba,,,d] | [ca,,,b1]> (,,b ,a ,,b) | ,,,,,a/ ,,,b ,,d ,a \
[,,#b] ,,a | {a}/ V,,b ,,,c1 Vc | ";;
196;g moll;202v;Aire;;8;;;C;"[,,,ca{a}1] [,'a/]> ,,d V[,,bc{a}/]> ,,b Vc/ e | \
[,'ed,,a/]> ,e V,f/ e V[f{a}1] V,,f | [,df{,,,a}1] [,df] \
{,,a}/> f 'e/ ,f | {,a}/ ,,d 'e/> e [f,f2] :| ";;
197;g moll;203v;Menuete;;9;;Conc_500;3;"[,,,c{a}1] ,,b/ ,,d ,a ,b | [,'a{,a}1] ,,a [,aa] | \
[,,,c{,,a}1] V,,d/ ,a ,,d ,a | [,,d{,,,a}1] [,,#b/]> ,,a \
[,,b,a1] | [,,a{4}1] V,,b/ ,,a ,,,c ,,a | ";;
198;g moll;204v;Bourée;;10;;;C;",h/ V,i/4 h | [k{a}1] k [eeVf,e/]> e Vf/ h | [eeVf,e1] \
[eef] [,f{,,a}/]> ,,f [,,#d/]> e | {,,,a}1 [,'e/]> ,f [eef1] :| ";;
199;g moll;205v;Aire;;11;;;C;"[,ab{a}/] ,,d [,,#b] ,,a V[,b,c{a}1] [,'aa{,a}] | \
V[,,dc{,,a}1] [,,'a/]> ,,,c [,,,'ba{,,,a}/] ,,,c/4 ,,a \
,,,,a/ ,,,,,d | ,,,,,b/ ,a Vc a V[,b,,,d1] [,aa,a] | ";;
200;g moll;206v;Gavotte;;12;;;C;"[,abc{a}1] Vc | [aVd{,,,a}1] ,,,,a/ ,,,,,d ,,,,,c a V[c{a}] \
,a | V[,b,c,d1] {4}/ ,b [,aVb{d}1] ,,,c/ ,a | [,,da,a1] \
[,aVb{d}] V[,b,c,d/]> ,a [,,d{4}/] ,,b | ";;
201;g moll;207v;Menuete;;13;;;3;"[,aVbc{a}1] ,,,c [,,aba] | V[,,bc{a}1] ,,,,,a/ ,,d [,a,,,b1] | \
V[,b{,,a}] [,,#d{,a}3/2] ,,,f/4 ,,d | [,ab{d}/] ,,d ,a ,b \
[,'a] ,,d | [,aVbc{a}1] ,,,c [,,aba] | ";;
202;g moll;208v;Bourée;;14;;;C;"[,a,b/]> ,,d | [,,#b{a}1] ,,a/ ,,,c [,a,,,b1] [c,,,,d] | \
V[,e,,a/] ,a [,c,,,d] V,e [ca,,,b1] [,a,,,c] | V[,b,,,d1] \
[,aa,a] V[,,d,c] [,a,b] | [,,#b{a}1]> ,,a ,,,c1 [,a,b/]> ,,d | ";;
203;g moll;209v;Echo;;15;;;3;"""haut""[,abc{a}1] | [,,#bc{a}1] ,,,c ""bas""[,abc] | [,,#bc{a}1] \
,,,c ""haut""[fa,,f] | ['ea,,e1] ,,f ""bas""[fa,,f] | ['ea,,e1] \
,,f ""haut""[,ab{a}/] V,b | [a,d,,a1] [,#ba{,a}] a | [,aVb{d}2] \
, ""bas"" [,ab{a}/] V,b | [a,d,,a1] [,#ba{,a}] a | ";;
204;g moll;210v;Aire;;16;;;C;"[,aVbc{a}1] [,abc] [,,dc,a] [,,dc] | [,adba1] [,,#b/]> ,,a \
V[,,bc{a}1] [,,bc] | [,bb{a}1] [,bb] [,#ba{,a}] [,aa] | \
[c{,,a}/] (e/4 f) ['e{4}/] ,f/4 e [,'ea{,,,a}1] ,,,,a :| ";;
205;g moll;211v;Courente;;17;;Conc_522;3;"c/ | [cab{a}1]> c #a/ ,b | [,aa,e/]> ,,d [,,#b1]> ,,a | \
{a}/ ,,b ,,,c1 ,,b/ ,a | [cabv1] [c,d,,a] #a/> ,b | \
[,aVba{d}1] [,aba/]> ,a V[,b,c,d1] | ";;
206;g moll;212v;Sarabande;;18;;;3;"[,abc{a}1] #c Ve | ['ba{,,,a}1] ,a/ {4} ,,,,,b c | \
,,,,,a/ e ,,d ,a [,,#b] ,,a | V[,,bc{a}1] ,,b/ ,,a ,,,c ,a | \
V[,bd{a}3] | V[,bd{a}1] [,#ba{,a}1]> ,a | ";;
207;g moll;213v;Gavotte;;19;;Conc_4073;C;"[c,b{a}/]> {,a} [c,b{,,a}/] {,,,a} [c,b{4}/] [e,d] \
['ba{,,,a}] [ba,,,d] | [ca,,,b/] c/4 ,,d [cb{4}/] c/4 ,,b \
[c,b{,,,a}] V,,a 'b c [cab{a}1] :| ";;
208;g moll;214v;Menuet en Rondeau;;20 - Du commencement;;;3;"[,abc{a}1] V[,,d{4}/] ,,b [,,'a] ,,,c | [,,,'ba{,,,a}1] \
,,,,,b ,,,c/ ,,a | V[,,bcv1] V[,,db,a] [,ad,a] | V[b{4}/] \
,a ,,d ,,b [,,'a] ,,,c | [,,,'ba{,,,a}1] (c/ a)";;
209;g moll;215v;Bourée;;21;;;C;",,,c/> ,,a | V,,b1 [,,b{a}/] [,,d,,a] [,a,,,b1] Vc | \
[b,d,,a1] [c,b{a}] [ea,,e/]> e c/ V[e,,,a] | V[fa{a}1] \
V[fa] Vf f/ e | [c,b{a}1] [c,b/] [a,a]";;
210;g moll;216v;Canarie;;22;;Conc_343;3;"[c{a}/] b Vc ,a V,b ,,d | [,'ad{a}1] ,,b {,a} | {,,a}/ ,,b \
,,,c ,,b [,,'a] ,,,c | {,,,a}/ ,,,b ,a ,,d [,,#b] ,,a | ";217v-224v rastriert, aber leer. 225r-v Leerseiten.;217v-224v gridded, but not used. 225r-v empty pages.
;;;L'accord francaise se change en ceux [G# F# C#] du Ton A avec la tierce dure;;;;;;;;
211;A dur;226v;Prelude;;1;;;C;",,,,,a/ e Vd ,e ,c ,a ,,e ,a ,,c ,,e ,,,,,a ,,,d ,,a \
,,,,,c ,,,,,e ,,,,a {,,a} ,a d ,,c ,,e e ,,,,,c ,,c e d";;
212;A dur;227v;Marche;;2;;;C;",,c/ ,,a ,,c | ,,,,,a/ ,,e ,,e ,,e [,,e,,a] (,a [,c{a}]) \
,a | [,,e,,a/] ,,c ,,e ,a (,,e/> ,,c ,,a/) ,,c | [,,e,,a/]> \
,,e (,,c/ ,,e)";;
213;A dur;228v;Aire;;3;;;C;"[,,aVe,a1] V,,e/ ,a {a} ,c ,,c V,,e | [,,a{,a}/]> ,,e \
[,,'c{,,,a}/]> ,,a {,,a}/ ,,,d ,,,,c {,,,a} | {4}/ ,c Ve ,c \
{,,,a} ,e {,,a} ,c | ";;
214;A dur;229r;Menuete;Losy?;;;Conc_1386;3;"V[e,,,,a1] ['d,,,,c2] | [ec,,,e2] ,c1 | [,aa,e2] \
V[,c,d1] | [,,'e,,a1]> ,,c ,,a1 | V[,,e,,a1] [,,'c{a}2] | \
[,,#a{,a}1]> ,,,d ,,,,e1 | [,e,,,a1] [,'b,,,c1]> ,c | \
[,ccd{,,a}2] [,ccd1] :| ";;
215;A dur;229v;Gavotte;;4;;Conc_3973;C;"[,,aVe,a/] ,,c V,,e ,a [,,#c{a}1] ,c | V[,ea{,,,a}1] ,,c/ ,c \
[,ca{4}] ,e [,#a{,,,a}/]> ,,e | [,,#c{,,a}/]> ,,a ,,,d/ ,,a \
[,,aVe1] ,,,,,a :| ";;
216;A dur;230r;Menuete;;;;;3;"[ece,,a1] {4} V,c | [,a{,,,a}1] V,e [,,e,,a] | [,,c{a}1] \
V[,,e,,a] [,,a{,a}] | [,,cd{,,a}/] (,,a ,,c ,,e) [,,#c1] | \
[ece,,a1] {4} V,c | V[,e{,,,a}/]> ,e [,#c/] ,a ,,,,,a ,,e | ";;
217;A dur;230v;Bourée;;5;;;C;"[,#c/]> ,a | [,,ee,a/] ,a V,c1 ,,e/ ,,c ,,,e1 | \
[,,,'d{,,a}/] ,,,e ,,c1 ,,,,c/ ,,,,a V,,,,c1 | \
,,,,,e/ ,,,,,c ,,,,,a1 [,,c{a}] [,,ee,a] | [,,cdc1]";;
218;A dur;231v;Menuete;;6;;;3;"[,ce,,a1] ,,e [,aa{,a}] | [,cc{a}/] ,,e [,#c/]> ,a \
[,,ee,a1] | [,ea{,,,a}1] [,#c/]> ,a ,,e/ ,a | [,,#c{,,a}/] \
(,,a ,,c ,,e) [,,#c1] | [,ce,,a1] ,,e [,aa{,a}1] | ";;
219;A dur;232v;Gigue;;7;;;C;",,e/4 (,a/> ,c) | Ve1 'd Ve V,c | [,ef1] [,ce] [,ef] ,,e | \
[,ac1] [,,ee] [,acd] [,,ee] | [,,cec1] [,,,'d] [,,ae/]> ,,,d \
,,e/> ,a | ";;
220;A dur;233v;Menuete;;8;;;3;"[,,aVe,a1] ,,e/ ,,c [,,#a1] | [,cc{a}1] V,,c ,a | \
V[,,e,,a1] [,,#c{a}] {,a}/ ,,a | [,,,dc{,,a}1] ,,,d/ ,,a \
V[,,c{,,,a}1] | [,,,,c{4}1] (,,a ,,c) | [,,ee,a1]> \
,,e [,,#c{a}1] | ";;
221;A dur;234v;Aire;;9;;Conc_2830;C;"[ece,,a1] {4}/ ,c V[,ea{,,,a}1] ,,,,,a/ ,,e | [,ae,,c/]> \
,e [,#c{a}/] ,a ,,,,,a ,,e ,,,e1 | [,,ee,a1] [,,#c/]> ,,a \
[,,cd{a}1] ,c/ ,,,d | [,,aVe{,a}/]> ,,e [,,#c{,,,a}/]> ,,a \
{,,a}/ ,,,d ,,,,c1 | ";;
222;A dur;235v;Rigidon;;10;;;C;"[,ca/] ,e | [,#ca,,a1] ,,e/ ,a [,(ca,,a1] [,e)a,a] | \
[,#ca,,a/] (,a ,c ,e) [,#ca,,a] ,a ,,e ,a | [,ca{4}/]> (,c \
,a/) ,c V[,ea{,,,a}/]> ,c [,#a/] ,,e | ";;
223;A dur;236v;Menuete;;11;;;3;"[ece,,a1] [e,c{,,a}] ['d,c/]> e | [e,e{,a}1]> [e,e] \
V[,ca,,e1] | V[,ea,a1] [,#c{a}1]> ,a | [,,e,,a/] ,a ,,e \
,,c [,,#a1] | [,,e,,a1] [,,#c{a}] ,c | [,,#a{,a}1] [,aa2] | ";;
224;A dur;237v;Gavotte;;12;;;C;"V[,ce,,a1] [,ce/] ,,,,,a V[,ea{,,,a}1] [,ea/] {,,,a} | \
[d,c{,,a}1] [d,c/] {,,a} [e,e,,a1] [e,e/]{,a} | [,#c{a}1] \
,c/ ,,a V[,ea,a1] V[,ca,,e] | [,ae,,c/]> ,,e [,,#c{,,,a}/]> \
,,a [,,cdc{,,a}1] [,,cdc] :| ";;
