PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;deuNotes;engNotes
;;;L'accord francaise se change en ce [Eb] du Ton C avec la tierce molle;;;;;;;;
40;c moll;43v;Prelude;;1;;;C;"V,,d1 {4} ,,,,,d ,,,,b ,,,c V,,d ,a V,b ,,d Vc ,a a ,,c V,,d \
,a V,b {a} ,,c V,,d ,a V,b {,a} {,,a}";;
41;c moll;44v;Tombeau de Mazarin;;2;;Conc_886;C;",,d/ | [,,dcbd1] {4}/ ,a V,b ,,d ,a V,,,c | {a}/ Vc [,#b/4] \
,d [,#b] ,a {a}/ V,b Vc Vh | V,i/ {a} h k Vl {,a} Vk h | ";;
42;c moll;45v;Gavotte;;3;;;C;"[hfg{4}1] ['g{,,,a}/]> g | Vh1 {,,a}/ Vh [#f{,,,a}/]> h \
#f/> ,g | [,'f{,,a}1] ,,g/> ,f V[,g{,a}1] {,a}/ {,,a} | \
[a,b{,,,a}1] [c,b{,,a}] [aa{,a}] [,'a/]> ,,d | ";;
43;c moll;46v;Courente;;4;;;3;"c/ [,#b] ,a | V[,b,c,d1] {4}/ ,d [,#b] ,a | [,,d{,,a}/]> \
,b [,'a{,a}3/2] ,,d/4 ,a | {a}/ ,,c ,,,c (,,,d [,,,'c]) \
,,,,d | {,,a}/ ,,,c {,,,a} ,,,a (,,d ,,c) | ";;
44;c moll;47v;Menuete;;5;;Conc_1869;3;"V[,bdc{4}1] ,b/ ,a ,,d ,a | [,,'cc{a}1] [,,cc{,a}] \
V[,,dc{,,a}] | [aad{,,,a}1] [aaVc] Vc/ a | V[,b{4}/] ,d \
V,b ,a ,,d ,a | V[,bdc{4}1] ,b/ ,a ,,d ,a | ";;
45;c moll;48v;Aire;;6;;;C;",,d/ | [,,dcb{4}/]> ,a V,b/ a [,a,c,c1] {a}/ Vc | \
[,,dc,b/] {,a} [,'a] ,,d/4 ,a [,,'cc{a}1] {a}/ {,a} | \
[,f{,,a}/]> ,g f/ Vh [#f{,,,a}/]> ,g [,'f{,,a}1] | ";;
46;c moll;49v;Gigue;;7;;;3/8;"Vc1 c/ | #a1 ,a/ | V[,bd{4}1] ,,d/ | [,,#b1] ,,,c | \
[,,dd1] ,,d/ | [,,#bc{a}1] ,,,c/ | [,,,dd{,a}1] V[,,b,a/] | \
[,,,cb{,,a}1] ,,,c/ | [,,,cb{,,a}1] [,,,cb/] | \
[,,,#aa{,,,a}1] [,,,a{4}/] | ";;
47;c moll;50v;Menuete;;8 - Tournés Vitement - 9;;Conc_3855;3;"[cbd{4}1] [,,'cc{a}] [,,cc] | V[,,dc{,,a}1] [,,dc] [d,d{,a}] | \
[c,d{,,a}1] [a,c{,,,a}] #a/> ,a | V[,bd{4}1] [,bd] [,acc{a}] | \
[c,d{,,a}1] [a,c{,,,a}] #a/> ,a | V[,bd{4}1] [,bd] [,acc{a}] | ";;
48;c moll;52v;Air / Affectuose;;10 - Fin - Jam Secund: repet: us? ad Sig: Finis;;Conc_2857;C;"[,,,c,d1] [,,d{b}] [,,b{a}] [,,,d{4}/] ,,,c | [,,,d{,a}1] \
[,,,c,b/] ,,,a [,,,c{,,a}1] [,,,,,d{4}] | [,,,a{,,,a}1] \
[,,,,b{a}/] ,,,,a [,,,,bd1] [,,,,a{a}] | [,,,,bd/] [,,,a{b}] \
[,,,,b{a}] [,,,'a{,a}] [,,,c{a}2] | ";;
