Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
45;F dur;86;Menuet;;;Mandora;Conc_4989;3/4;"[d,,,,a1] Xd2 | [f,,a1] ,d ,d | [f,,a1] Xf2 | V[h,,,,a1] ,,a ,,a | \
[h,,,,a1] Xh2 | [i,,,a1] (i/ h) i1 | V[h,,,,a1] (h/ f) h1 |"
46;f moll;87;Trio;;;Mandora;Conc_4990;3/4;"[,,a,,a/] ,,d ,d1 d | '[c,,a3] | [,,d,,a/] ,d d1 g | '[f,,a3] | \
Vg1 ,,,f/ g ,,,,e g | 'f1 ,,,d/ f ,,,,a ,c |"
47;F dur;88;Allegro Finale Capricio;;;Mandora;Conc_4991;3/4;"[,,a,,a/] ,a/4 (,,c ,,a/) ,,a [,,ae] ,,a | \
[,,ac/] ,a/4 (,c ,a/) ,,a [,,a,c] ,,a | \
[da,,,a/] (c/4 a) ,d/ ,b [,a,a] ,,c |"
;;;[Sonata] No. XI Gallichone solo Del Sig.r Brescianello;;;;;;
48;c moll;90;Allegro;;;Mandora;Conc_4992;2/4;",,c/ | ,d/ ,c ,d [a,,,a] | [b,,a/] [a,,,e] [b,,a] [d,,c] | \
[f,,d/] d/4 b [a,,,,a/] ,d | [ac,,a/] ,,,,c ,,,,e [ac,,a] |"
49;c moll;92;Andante;;;Mandora;Conc_4993;C;"(3f/4 ,g ,,h) | [fgha1] ,,,c ,,,d ([g,a/8] f) (d b) (a b d b a b) | \
X[,c,,a1] ,,,,,a ,,,d/ ,d (a b) |"
50;c moll;93;Menuet;;;Mandora;Conc_4994;3/4;"[,d,a1] b c | d1 e f | ,,,,a/ ,c a (g f1) | '[b,,a1] (a/ b) ,d1 | \
g1 ,,,,f/ g ,,,,e g |"
51;c moll;94;Finale Allegro;;p. 96 empty;Mandora;Conc_4995;2/4;"[fgha/] (g/4 f) [dc,c/] 'a/4 ,d | [,c,,a/4] a (f d) [c,,a] a) (,d ,b) | \
[,,d,,a/4] ,d (d b) [a,,,d] ,d ,b ,,d |"
;;;[Sonata] No. XII Gallichone solo Del Sig.r Brescianello;;;;;;
52;C dur;97;Entrée Andante;;;Mandora;Conc_4996;C;",,c/8 (,a ,c ,d) a | V[c,,a3/2] a/ (c a) [f,,,a] ,c | \
V[,d,,c1] ,,,,a/ ,,,,,a ,,,e1 [fh,a] | \
,,,,,a/4 h ,i h ,,,,,a h ,i h"
53;C dur;98;Allegro;;;Mandora;Conc_4997;3/4;"(3[f,,a/4] h f) (3[f,,a] h f) (3[f,,a] h f) | \
'[f,,a1] (d/ c) ([a,,,,a] c) | '[,c,,a1] (,c/ ,d) a1 |"
54;C dur;98;Menuet;;;Mandora;Conc_4998;3/4;"[f,,a1] [f,,,e] [f,,,a] | '[c,,a1] (a/ c) ,d1 | \
,,,a/ f ,,,,e f ,,,,a f | '[c,,a1] (a/ c) ,d1 |"
55;C dur;99;Gavotta;;;Mandora;Conc_4999;C;"[,,ca1] ,d '[,c,,a] ,a/ ,,c | [,d,a/4] (a c) ([a,,,a] c d) '[c,,a1] ,d | \
,,,,c/ d ,,,,a c ,,,,,a h ,,,e f |"
56;C dur;100;Gigue;;;Mandora;Conc_5000;6/8;",,c/4 ,a | V[,d,a/] ,,c ,d [,d,a] ,,c ,d | \
[,d,a/] ,,c ,,,e ,,,a1 ,,c/8 (,a ,c ,d) a | \
[c,,a/] ,d c [c,,a] ,d c |"
;;;[Sonata] No. XIII Gallichone solo Del Sig.r Brescianello;;;;;;
57;F dur;102;Aria;;;Mandora;Conc_5001;C;"(,a/4 ,b ,d) | [,,a,,a1] d [d,,,c] [f,,,d] | \
'[c,,a1] [d,,,,a] y (3,a/4 ,b ,d) | \
,,,,,a1 h [h,,,,a] [i,,,a] |"
58;F dur;102;Menuet;;;Mandora;Conc_5002;3/4;",,,,,a/ (l h1) ,i | ,,,,,a1 [c,,,a] [d,,,c] | \
,,,,,a/ (l h1) ,i | ,,,,,a1 [c,,,a] [d,,,c] | \
(3,,,,,a/ h ,i) a1 ,d |"
59;d moll;103;Trio;;;Mandora;Conc_5003;3/4;,,,c/4 a a/ ,,,e a a ,,a a a | ,,c/4 a a/ ,,e a a ,,f a a |
60;F dur;104;Cantabile;;;Mandora;Conc_5004;2/4;",,,,,a/ ,,e ,d d | ([d,,a1] c) | ,,,a/ ,h f (3f/4 h i) | \
([i,,,,a1] h) | ,,,,,a/ ,i h (3h/4 i l) |"
61;F dur;106;Fuga;;p. 108 empty;Mandora;Conc_5005;6/8;"d1 ,,a/ ,a ,,c ,,a | ,d1 ,,,a/ ,,,e ,,,c ,,,a | \
([,b,c/] ,a) ,b ([,b,e] ,a) ,b | \
'[,a,,,a1] ,,,,a/ ,,,,c ,,,,a ,,,,,a |"
;;;[Sonata] No. XIV Gallichone solo Del Sig.r Brescianello;;;;;;
62;G dur;109;Entrée Marche;;;Mandora;Conc_5006;2/4;"[,,c,a/] [,,c,a3/8] [,,c,a/8] [,,c,a/] f | \
'[a,,,a3/8] ,c/8 V[d,,,a3/8] ,a/8 V[,c,,a/] f | \
'[a,,,a/4] a/8 ,c V[,d,,,a/4] ,d/8 ,a \
V[,c,,a/4] ,c/8 ,,c '[,a,,,a/4] ,a/8 ,,b |"
