Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
64;;32v;Menuet;;;Mandora;;3/4;"[,,c,a1] (,c/ ,d) (a c) | [a,,,a1] (c/ a) (,d ,c) | \
([,a,,,a1] ,c/) (,d ,c ,a) | '[,,b,,a1] ,,c/ ,a ,,,c1 |"
;;;Parthia e Thono 5to;;;;;;
65;;33r;Praeludium - arioso;;;Mandora;;C;",,c1 | V,,c1 ,,,,,a ,,,,a ,c | V,c1 ,,,,,a ,,,,a (,c/ ,d) | \
[ac,,a1] [cd,a] [ac,,a] (,d/ ,c) | \
'[,a,,,a1] ,,,,,c ,,,,,e ,,c |"
66;;33v;Trio;;;Mandora;;3/4;"[ab,,a1] a/ (,d ,b ,a) | '[,b,,a1] (,b/ ,a) ,,c1 | \
,,,,,a/ ,a ,,,,a ,b ,,,a ,d | '[,a,,,a1] ,,,,,c ,,,,,e |"
67;;34r;Gavotto - amabile;;;Mandora;;C;"f1 | [ac,,a1] (,c/ ,d) a1 [c,,a] | [ac,,a1] ,,c/ ,a ,,c1 f | \
[ac,,a1] (,c/ ,d) a1 [c,,a] | [ac,,a1] ,,c/ ,a ,,c1 (,a/ ,c) |"
68;;34v;Menuet;;;Mandora;;3/4;"[ac,,a1] [ac] [cd,,a] | [ac,,a1] f Vf | [ac,,a1] (,c/ ,d) (a c) | \
[,d,,c1] ([,c,,,a/] ,a) [,c,,a1] | ,,,,,a/ ,,b ,a ,d [,c,,a1] |"
69;;35r;Gigue;;;Mandora;;6/8;"a/ | [,c,,a3/4] ,d/4 ,c/ [,a,,,a3/4] ,c/4 ,d/ | \
[,c,,a3/4] ,d/4 ,c/ ,,c1 '[a,,,,a/] | \
[,c,,a3/4] ,d/4 ,c/ [,a,,,a] ,c ,d |"
70;;35v;sans titre;;;Mandora;;3/4;"[ac,,a1] a (,c/ ,a) | [,,c,a1] ,,c V(,c/ ,d) | \
[ac,,a1] [ac] [cd,a] | [ac,,a3] :||: [,d,,c3/2] a/ ,d1 | \
[,d,,c/] ,,,,e1 a/ ,,,a c |"
71;;35v;sans titre;;;Mandora;;C;"(,c/ ,d) | '[a,,,a1] ,,c/ ,a ([,c,,a] ,d [,c,,,a] ,a) | \
[,,c,a1] V,,c/ ,a ,,c1 (,c/ ,d) | \
'[a,,,a1] ,,c/ ,a ([,c,,a] ,d) [,c,,,a] ,a |"
;;;Partia;;;;;;
72;;36r;Entree;;;Mandora;;C;"(a/ c) | ([e,,,a1] f/) f ([e,,,,a1] f/) i h1 | \
V[f,,,a1] a ,c/ ,,c [ac,,a1] | '[c,,a1] (c/ a) (,d ,c ,a) |"
