PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;Montbuysson
181;c moll;85v;(double);;;OT;;3;"a1 | \
[,bd/] ,a ,b ,d [a,b1] | \
[c,a/] a c d f c | \
[d,,c3/2] f/ d1 | \
,f1 ,d/ ,b ,d a |";
182;;86v;Ecco il bel Maggio;;;staff;;;;
183;;88v;Più non amo più non ard'iniquo Amore;;;staff;ConcR3602;;;
184;C dur;89v;Courrente Gautier;;f. 90r - 92r empty;OT;Conc_3452;3;",,d1 | \
[,,dc{10}3] | \
[,,cc1] ,,,,,a {a} | \
[,,d{8}1] [,a{9}/] ,b ,d a | \
[,b{10}1] ,,d ,b | \
[,b{10}1] {9} {8} | \
[,db1] ,,,,,d/ a b d |";
185;;92v;pauana dullande;John Dowland;;OT;ConcR747;C;"[aab,,a3] c1 [dab,,a2] ,,,c1 c | \
[aab,,a2] ,d1 ,,a [,b,c,a] ,a ,a ,,,a | \
[a,,,d1] ,,d/ ,,b ,,d1 a/ c [da,c1] ,a/ ,c [cd1] [da,ac] |";
186;;93r;Courente;;;OT;;3;",f1 | \
[he3/2] f/ e1 | \
,f1 [ha2] | \
[fc3/2] ,e/ [ef1] | \
[cef3/2] ,,d/ [a,c1] | \
[acd3/2] ,,c/ [c,a1] | \
[e,,c/] c e f h ,a |";
187;f moll;93v;Courente;;;OT;;3;",d1 | \
b1 ,,,a [d,,,b] | \
[f,,,a1] i [g,,f] | \
[f,,d1] {d} d | \
,g1 [,b,,a] [,d,,c] | \
[a,,,d1] [,a,,,d] [,b,,,a] | \
[,d,,,b1] [,a{a}] a | \
[,c,,a1] {,,a} ,a |";
188;F dur;94r;ballett;;Sellenger's Round / Est-ce Mars / The French Tune;OT;ConcR19;C;"[,,da{a}1] [,,da{a}] [,,da{a}] ,a/ ,c | \
[,d,,c1] ,,a/ ,,b [,,d,,c1] ,,,a | \
,d1 ,c/ ,d [a,,,,a3/2] ,d/4 a | \
c1 ,,,a {a}2 ||";
189;c moll;94v;Galliard Dullande;John Dowland;Galliard on a Galliard of Daniel Bacheler4;OT;ConcR104;3;"[fbd,a3/2] ,,,,c/ [db,,d2] [bdda] | \
[acd,a3/2] b/ a ,d ,c ,a ,,d2 | \
[abdca1] b [da,,,d] a [fb,d,b] ,d | \
[ea,,,a1] a/ h e ,a";
190;Es dur;95v;sans titre;;;OT;;3;"[,bbcd3/2] ,d/ ,b1 | \
,b1 ,,b ,b | \
[,bbcd3/2] ,d/ a1 | \
[abb,d3/2] ,d/ a b | \
d1 ,,,c f/ h | \
i1 [dabc3/2] b/ |";
191;Es dur;96r;sans titre;;;OT;;3;"[,b,,a1] [,d,,c] | \
[abb,d3/2] b/ a1 | \
[a,,,d1] [,dba,d3/2] a/ | \
,b1 ,,,,d {,a} | \
,,d/ ,a ,b ,d a b | \
[da,c3/2] b/ a1 |";
192;;96v;sans titre;;;OT;;3;"d1 | \
[dbbc3] | \
[fddd3] | \
[da,c3/2] f/ h i | \
h1 [ffgh2] | \
[da,c3] | \
[bbd,a2] ,,,,c1 | \
[abb,d3/2] b/ d1 | \
[bbd,a1] [abb,d2] | \
[,dba,d3/2] ,b/ ,a ,,d |";
193;;96v;sans titre;;;OT;;3;",b1 | \
[,bbcd3/2] ,d/ a1 | \
[a,,,d1] [,dba,d2] | \
,b1 ,,,,d {,a} | \
[,bb2] ,g1 | \
[,ggd3/2] d/ f1 | \
[fggd1] [db,c3/2] b/4 a | \
[bbdd3/2] d/ f1 |";
194;;97r;sans titre;;;OT;;3;",,d3/4 ,a/4 | \
,b1 ,,,,a ,a3/4 ,b/4 | \
,d1 ,,,,c ,b3/4 ,d/4 | \
a1 ,,,,d ,,b | \
[abb3/2] ,d/ a b | \
d1 ,,,c i ";
195;G dur;97v;ballett;;;OT;;3;"[e,,,,a2] h [,c,,,c] | \
[f,,,e2] [,a,c] e | \
[caa,c3] [,,de1] [,,cc2] | \
[,,abc2] {,a} [,ea,,c] | \
[aa,c,e2] ,,,,,a1 ,,c [,,abc2] | \
[,,,cca2] [,ea,c1] | \
[aa,c,e3/2] c/ [ea,,,a2] [caa,c] |";
196;F dur;98r;ballett;;;OT;ConcR607;C;"[,,aa/] ,,,c | \
[,,a{a}1] [,,b,,a] [,,d,,c] [,a,,,a/] ,c | \
[,dda{a}1] ,,,a [,dd] a/ c [d,,c1] [c,a] [a,b/] ,d [acd1] | \
[,dda1] {a} [,dd] ||";
197;;98v;Serabande;;;OT;ConcR1220;3;"[,aba,d1] ,,,,c [,aba] | \
[,bbc{,a}1] ,,,,d [,bbc] | \
[,aba,d1] ,,,,c [,aba] | \
[,dda1] {a} ,,,a | \
[,aba,d1] ,,,,c [,aba] | \
[,,bc{,a}1] ,,,,d ,,b | \
[,aba,d3/2] ,,,,,c/ [,c,,,a1] |";
198;;99r;Galliard P R;Philip Rosseter;;OT;;3;"[f,,aa3] d1 c2 | \
[hd,f,d3] f1 [df,,d2] | \
[f,,,a2] [,d,,c] e | \
[fc,,a3] d1 [c,,a2] | \
[da,a,d3] c1 [a,,,a2] | \
[,d,,c2] [add,a] ,c | \
[,daa2] {a}1 ,,b ,,a ,,,c |";
199;;99v;Spangeola;;Spagnoletta;OT;ConcR598;3;",,d1 | \
[,dda2] [a,,,a1] | \
[bd,a1] [db,c] ,a | \
[f,dd3/2] d/ [b,,a1] | \
[a,,,d3/2] b/ [,d,,b1] | \
[,c,,a3/2] ,a/4 ,c ,,d1 | \
[,d{a}/] ,c ,d a b d |";
200;;99v;[La Valetta];;Ballett (starts on f. 100r);OT;;3;",d1 | \
[,dda{a}3/2] a/ [,c,,a1] | \
[,a,,,a1] ,,d/ ,a ,c ,d | \
[acd,a3/2] c/ a1 | \
[,c{,,,a}1] ,,d [f,,,a] | \
[fdaa3/2] h/ f1 | \
[ddff1] f [c,,a] |";
201;;100r;Finale;Robert Ballard;Courant La Vallette;OT;ConcR597;none;"[acXd,a1] [cdd] [addca] ,c/ ,,b [,dda{a}4] || \
[acdca1] [cdd] [cdd] a/ ,d [add{,,,a}1] ,c/ ,a [,cd] [,ba] \
[,,de] [,,bc] [,,aaa{a}] ||";
202;;100r;[fragment];;;OT;;none;"[,da,c/] c a ,d [add,a] ,c/4 ,a ,d ,c ,d ,c ,d ,c ,a ,c \
[,dda{a}/] ,,d ,a ,c ,d";
203;;100r;[fragment];;f. 100v and following empty;OT;;none;"[,,aa{a}/] ,,,c/4 ,,a ,,b ,,a ,,b ,,a ,,b ,,a ,,b ,,a ,,b ,,a \
,,,c ,,,a [,cdca/] ,d a ,,b ,,a ,d ,,,c ,,,a";
