PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;Montbuysson
33;C dur;13r;sans titre;;;OT;;none;"X[f,,,a1] ,,,a [e,,,a] [f,,a/] e [c,,,a] a [c,,a] e [a,,,a1] \
[c,,a/] e [f,,,a1] [h,,a/] f [e,,,a1] [f,,a/] e [c,,,a] a \
[c,,a] e [a,,,a1] ,,,a ||";
34;F dur;13v;Bransle gaij;;;OT;ConcR638;none;"[,d{a}1] [a,,,a] [c,,a] [d{a}] ,,,,a [c,,a] [a{a}] \
[,d,,a/] a [c,,a] d [f{a}1] [d,,,a/] c [a,,a] c \
[,d{a}1] ,,,,a [d,,a] [c{a}]";
35;F dur;14v;[Prelude];;;OT;ConcR310;none;"[fdaa2] [cdaa] ,d/ a c d Xf ,,d ,,a2 ,,,a/ ,,,c ,,a ,,b ,,d1 \
,,,,a ,,,,,c {a} ,,d/ ,,b ,,a ,,,c";
36;d moll;15r;Courrente;;;OT;ConcR654;none;",a1 [,da,c2] [,c,,a1] [,d,,,d] ,a/ ,c ,d a [ccee,Xc2] \
,,,e1 [cce2] f1 [fdaa3/2] d/ c1 [a,,,,d/] ,d [,c,,a] ,d a ,c";
37;;15v;Courrente de Mad. La premiere fille d'Hessen. M. L. H.;M. L. H.;;OT;;none;",a1 [,aba,d3/2] ,c/ ,d1 [,dd,,c] ,,,,,d [,cc,,a] [,dda2] \
{a}1 [,dda2] [,aba,d1] [,cdXca3/2] ,d/ a1 [aa,c,e] ,,,,a \
[,ea,,c] [aacc2] ,,,,,a1 [aa,c2] [fda{a}1] [cdda3/2] a/ ,d1";
38;C dur;15v;Courrente Blanche et bleuue. M. L. H.;M. L. H.;;OT;ConcR800;none;"a1 [,cdca3/2] ,a/ ,c1 [,,dca] ,,,c a [,cdca3/2] ,a/ ,c1 [,,dca] \
a ,c [fda{a}3/2] d/ c a [cdd{a}1] ,d ,,c";
39;;16r;Volte.;;;OT;;none;",,d/ ,,b [,,a{a}1] [,,b,,a] [,,d,,c] ,,,a ,,d [,a,,,d/] ,c ,d1 \
[,c,,a] [,d,a] {a} [,dd] c/ a [,d,,c1] [a,,,e] [c,,a] [,,d,,c]";
40;;16v;Volte.;;;OT;ConcR386;none;",,d1 ,b ,,a a ,,,,a ,,,,c [abb,Xd] ,d/ ,b ,a ,,d X,,,,,d \
,,a ,,b ,,d ,a ,c [,da,c1] [abb,Xd/] c d1 [bdda2]";
41;F dur;16v;Courrente;;?Courante;OT;ConcR647;none;"c1 [cdda3/2] d/ c1 [a,d,e] [,dda2] [acd,a1] ,,,c/ ,d ,c ,a \
,,d2 f1 [fhi2] [hi,f1] [fhi,f2] [ddff,d1] [cdda] \
{a}/ ,a ,c ,d";
42;F dur;17r;Bransle;;;OT;;none;"[c{a}1] [a,,,a] [,d,a/] a [c{a}1] [a,,,a] [,d,a/] a [c{a}1] \
[a,,,a] [,d,a] [f{a}] ,,,,a ,,,a [c{a}/] d [f,,,a] d [c,,a] a";
43;F dur;17v;[Volte];;;OT;ConcR2729;none;",,d1 ,d a [bdda3/2] d/ b1 [acd,a3/2] ,d/ [acd1] [,dda2] {a}1 \
[,,bcXd] ,,a/ ,,b [,,dd1] [,,bcXd3/2] ,,d/ ,,b1 [,,dd,b] \
[,,bdXd]";
44;f moll;17v;Courrente Blanche et bleuue. M. L. H.;;;OT;ConcR800;none;"a1 [,cdca3/2] ,a/ ,c1 [,,dca] ,,,c a [,cdca3/2] ,a/ ,c1 \
[,,dca] a ,c [fda{a}3/2] d/ c a [cdd{a}1] ,d ,,d";
45;C dur;18r;Ballet. G. S.;;Georg Schimmelpfennig;OT;;none;"f/ d [cd,a1] [a,,,e] [cd,a] [,dc,a] [acd,a] ,,,c [acd] \
[c,d,a/] a [,da,c1] [,c,,a] [,d,,c] [,aba,d] [,ceXe] X,,,,,c \
[,ce] ,a/ ,c";
46;;18v;Courrente;;;OT;;none;"f1 [fdaa3/2] d/ c1 [acd,a3/2] ,d/ a1 [cdd{a}3/2] a/ c1 \
[,da,c3] [a,d,e2] [cdda1] [,da,c3/2] a/ ,d1 [,cdXca] a/ ,d ,c ,a";
47;;18v;Courrente;;;OT;ConcR648;none;"f1 [fhaa3/2] h/ f1 [h{a}3/2] f/ h1 [fhaa3] [fha3/2] h/ k1 \
[l,aa2] [h,,f1] [f,a2] [d,,c1] [cdda1] ,d/ a c d";
48;F dur;19v;Praeludium;Laurencini;f. 20v-21r empty;OT;ConcR165;none;"[fda{a}2] d/4 c a ,d ,c ,a ,,d ,,b ,,a ,,,c \
,,a ,,b ,,d ,,a ,,,c ,,a ,,,a ,,,c ,,,e ,,,a \
,,,c ,,,a ,,,,e ,,,,c ,,,,e ,,,,c ,,,,a ,,,,,e \
,,,,a ,,,,c ,,,,e ,,,a";
49;g moll;21v;Vollte.;;;OT;;3;"[,abc3/2] ,,,a/ [a,d,d1] | \
[,da,c3/2] ,,,,a/ [,aba,d1] | \
[,,da3/2] ,a/ [,,bc,a1] | \
[,aabXc1] {,,a}2 | \
[,,bc,a1] ,,a ,,,c | \
[,,abXc3/2] ,,,c/ ,,,b1 | \
X,,,c1 ,,,,,a/ ,,a ,,b ,,d |";
50;G dur;22r;Volte.;;;OT;;3;",c/ ,e a c e a | \
[ha,g,a3] | \
,a/ ,c ,e ,a ,f1 | \
e1 ,f ,a | \
,,c1 ,,f ,,c | \
[aacc1] ,,,,,a2 |";
51;F dur;22r;Preludam;;;OT;;C;"f4 | \
f2 c | \
d2 f | \
Xd3/2 d/ c1 a | \
[cd1] ,b [da2] | \
X,b1 d [cd2] | \
[d,Xb1] c d ,,d | \
[da1] ,c [ad2] |";
52;C dur;22v;Courante;;;OT;;3;",c1 | \
[,cdca{,,a}3/2] ,d/ [,cd1] | \
[,a,,,a1] [,cd] [,a,c] | \
X,,d1 ,,,,a ,,,,c | \
[a,d,e3/2] ,,,,c/ ,,,,e ,,,,a | \
,a1 ,,,c ,,a | \
,a1 ,,,,,a ,,,,,c |";
53;C dur;23r;Volte.;;;OT;ConcR556;3;"a/ ,d [,cd1] [,ac] | \
[,cde3/2] ,e/ [a,,,e1] | \
[c,,a/] a c e [f,,,a1] | \
[e,,c3/2] c/4 e ,f1 | \
[c,,a1] [a,,,e] [,d,a/] ,c | \
[,acc3/2] ,,,a/ [a,,,e1] |";
54;;23v;Courante;;;OT;;3;"z2 ,,d1 | \
[,dda3/2] a/ c1 | \
[d,,,d1] a [f,,,a] | \
[b,,a1] ,d [d,,,,d] | \
[a,,,d1] ,b [b,,,a] | \
[,d,,b1] ,,,,,d a | \
[,b,,a1] ,,,,,b f |";
