Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
62;G dur;70r;Aria;;;Mandora;;C;"[dda1] (h/4 f) d/ [fd,e1] ,d/ f | [da,c1] (,c/4 ,d) a/ [cd,a1] [cd/] ,,,,d | \
[,da,c1] (d/4 b) a/ [,ba,d1] ,,,a/4 ,,,,d ,,,,c/ |";french5tab
63;G dur;70v;Boure;;;Mandora;;C;",,a/ ,,c | [,aa1] [d,,c] [cd,a] [ab,,d] | \
[,da,c/] a ,d ,b [,aa1] ,b/ ,a | [,,ce1] ,d [,,ac] [,cc,a] |";french5tab
64;G dur;70v;Gavotta;;;Mandora;;C;"[dda1] [,d,a/] ,b [,aa1] [,bc,a] | [,da,c/] a (,d/4 ,b) ,a/ '[,,ca1] ,,c | \
[dda1] [,c,c] [,d,e] ,,a | '[a,,,a1] ,d/ a [cd,a1] ,d :||:";french5tab
65;G dur;71r;Minuet;;;Mandora;;3/4;"[dda1] ,a '[,b,,a] | [,d,,c1] ,,a [,da,c] | [ab,,d1] '[,b,,a3/2] ,c/ | \
'[,,ca1] (,,a/4 ,,c) ,a/ ,,c1 | [dda1] ,a '[,b,,a] |";french5tab
66;G dur;71r;Sarabande;;;Mandora;;3/4;"[,aa1] ,,c/ ,a ,c1 | [,d,e1] ,,c ,d | (a/4 c) [da,c/] [da1] 'f | \
d1 '[c,,a] ,d | (,,,c/4 ,,,a) ,,,,d/ [,da,c1] ,,a |";french5tab
;;;Part. 7ma;;;;;;;
67;G dur;71v;Aria;;;Mandora;;C;"d/ | [dda1] ,d '[,d,e3/2] ,b/ | '[,aa3/2] ,b/ [,,ca3/2] ,a/ | \
[,,ac1] ,b [,b,cd] [,aa/] ,,c | '[,,ca3/2] ,,a/ [,aaf3/2] :||:";french5tab
68;G dur;71v;Minuet;;;Mandora;;3/4;"[,dca1] ,d [,d,e/] ,b | [,aa1] ,a/ ,,c ,,a1 | [,d,e1] [ac,c] (c/ d) | \
[cd,a1] c/ a ,d1 | [dd,,c1] '[d,,a3/2] d/ |";french5tab
69;G dur;72r;Sarabande;;;Mandora;;3/4;"[,aa3/2] ,,c/ ,,a1 | [,d,e1] '[,b,c3/2] ,b/ | [,b,a3/2] ,d/ [,aa1] | \
[,b,,a/] ,a '[,,ca3/2] ,,,e/ | [,,af1] [,aa] ,a | \
[,ca1] [,d,e3/2] ,d/ |";french5tab
70;G dur;72v;Guige;;;Mandora;;3/4;"[dda2] ,d1 | [ab,,d3/2] ,d/ ,b1 | [,aa2] ,,,a1 | [,a,c3/2] ,,,a/ [,b,,d1] | \
[,da,c3/2] a/ ,d1 | [,b,,a3/2] ,d/ ,b1 | '[,aa2] ,,a1 |";french5tab
71;G dur;73r;Ciacona;;;Mandora;;3/4;"[,aaf3/2] ,,c/ ,,a1 | [,dce3/2] (a/ c1) | [da,c1] d f | \
'[c,,a3/2] a/ ,d1 | [dd,,c3/2] (d/ c1) | [ab,,d2] [aa1] | \
[f,,,a/] d '[c,,a3/2] c/ |";french5tab
;;;Part. 8va;;;;;;;
72;g moll;73v;Echo;;;Mandora;;3/4;"[,da1] | [,d,e1] ,d/ ,,f [,da1] | (,,d/ ,,c) ,,a1 ,d | \
""piano""[,d,e1] ,d/ ,,f ,d1 | (,,d/ ,,c) ,,a1 [gd,f1] | \
""fresco""'[fd,d3/2] f/ [d,,b1] |";french5tab
73;g moll;74v;Sarabande;;;Mandora;;3/4;"[daa3/2] f/ [cbc1] | [dd,,b3/2] [dd/] [,da,c1] | \
[,e,,d1] (,e/ ,d) (,b ,d) | [,,ce1] ,,,a/ ,,c ,,,,d1 |: \
[,dc,b3/2] ,a/ [,,ab] ,,a1 |";french5tab
74;g moll;74v;Minuet;;;Mandora;;3/4;"[,ddf1] (,e/ ,d) (,b ,d) | [,,df1] ,d ,,,d | ,,,b1 [,ba] [,d,a] | \
[,ea,d1] (,e/ ,d) ,d1 | [dd,,b1] (e/ d) (b d) |";french5tab
75;g moll;75r;Gavotta;;;Mandora;;C;"[,ddf1] ,b/ ,d [,,a,b1] ,e/ ,d | [,b,,a/] ,d ,,a ,b [,dca1] [,dc] | \
,,,e/ ,,c ,a ,,,,b [,bca1] ,d |";french5tab
;;;[Various];;;;;;;
76;C dur;75v;Rondon;;;Mandora;Conc_1220;3/4;",,,,d1 ,,,c ,,a | V,b1 '[,aa] ,,a | [,b,,a1] [,d,,c] d | \
(b/4 a) ,d/ [ab,,d1] ,b | [,d,,c1] [,b,,a] ,,c | \
[,d,d1] '[,aa] ,,a |";french5tab
77;C dur;76v;1.;;;Mandora;;3/4;"[aba,d1] 'a/ ,d [ab1] | [,da,c1] (,d/ ,b) ,d1 | [,aa1] ,,c ,,,a | \
[,aa1] (,b/4 ,a) (,,c/ ,,a1) | [aba,d1] [ab/] ,d [ab1] |";french5tab
78;C dur;76v;2.;;;Mandora;;3/4;"[aba,d1] (,b/ ,a) ,b1 | [,da,c1] ,d ,,a | [aba,d1] (b/ a) (,d ,b) | \
[,da,c1] (,b/ ,a) (,,c ,,a) | [,b,,a1] (,b/ ,a) [,b,,a1] |";french5tab
