Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
11;;5v;Ach wie nichtig ach wie flüchtig;;;cittern;;C;",,c3/2 ,a/ [,bc1] ,b | [,ba3/2] [,aaa/] [aba1] a | \
[aba3/2] a/ [,aaa1] [,bc] | [,ac3/2] ,,b/ [acc2] :||: \
[acc1] a [bdc] b |";french4tab
12;;6r;Sag was hilftet alle welt;;;cittern;;C;"[aba1] | [,aaa3/2] ,b/ [,ab1] [,bc] | [aab2] z1 ,b | \
[,bc3/2] ,,,a/ [aba1] [,aaa] | [aba3] || ,,,a1 | \
[,aaa3/2] ,,,a/ [,aaa1] [ab] | [,aaa2] z1 d |";french4tab
13;;6v;Alia melodia praecedentis textus;;;cittern;;C;"[,bc1] | [,aaa3/2] a/ [bdc1] d | [aba2] z1 [df] | \
f1 h i [fhh] | [daaa3] || i1 | [hi3/2] f/ [da1] b |";french4tab
14;;6v;Ich ruff zu dir Herr Jesu Christ;;;cittern;;C;"[aab2] [,bc1] [,aaa] | ,c1 ,,c/ ,a [,bc1] [,aaa] | \
[aab2] z1 [aba] | [daaa1] [aba] [,bc] ,d/ a | [bdc2] [acc] :||:";french4tab
15;;7r;Hertzlich thut mich erfrewen die liebe Sommerzeit;;;cittern;;3;"[acc1] | [aab2] [cdc1] | [daaa2] [cdc1] | [aba3] | \
[,bc2] [,aaa1] | [aba2] ,a1 | ,b1 [,ab2] | [acc2] :||: \
[,aa1] | ,a1 ,,c ,a | a1 [cee2] |";french4tab
16;;7v;Nun kom der heyden Heyland;;;cittern;;C;"[,dc2] [,dd1] [,bc] | [bdc1] a/ ,d [acc2] | [cdc4] | \
,d/ a [bdc1] [df] d/ b | [df1] [fgf] [bbc2] | \
[bdc1] [df] [fg] [bd] |";french4tab
17;;7v;Vom himmel hoch da kom ich her;;;cittern;;C;"[df2] [cdc1] [acc] | [cdc1] [,aaa] [abc] [cdc] | [daaa2] z1 d | \
[daaa1] [,aaa] ,,,a ,a/ ,b | [,de1] [,bc] [aab2] |";french4tab
18;;8r;O trawrigkeit, o hertzeleid;;;cittern;;C;"f2 b1 a/ ,d | [acc2] z1 [,cc] | [,da3/4] a/4 [bdc1] [acc2] | \
[fgf2] f1 [fgf] | [gi1] [fg] [dg3/2] f/ | [bbc4] |";french4tab
19;;8v;Frew dich sehr o meine seele;;;cittern;;3;"[,bc2] [,aaa1] | [aba2] ,d1 | ,b2 ,a1 | [,,ca3] | [daaa3] | \
[,bc2] ,d1 | [ab2] b1 | a1 [,aaa2] | [aba3] :||: \
[aba2] b1 | [df2] b1 |";french4tab
20;;8v;Herr Jesu Christ wahr mensch undt Gott;;;cittern;;C;"[daaa2] d1 d | [cddc1] [,aa] [abc] [cdc] | [daaa2] z1 d | \
[cdc1] [ab] [,aaa] [,bc] | [,aa1] ,,c [aab2] | z1 ,a ,,c ,a |";french4tab
21;;9r;Valet will ich dir geben;;;cittern;;C;",,a1 [,aaa] ,,c | [ab1] [cdc] [daaa2] | d1 h f d | [ab1] [cdc] [daaa2] :||: \
z1 [df3/4] f/4 [hg1] h | f1 d [cdc3/2] a/ |";french4tab
