PieceNr;Key;PageNr;Name;Composer;Comment;deuNotes;Tuning;Concordances;TimeInz;Tab;TabNotation
190;;18_77v;Allein zu dir Herr Jesu;;;;Cithrinchen;;C;"[bd3/2] a/4 ,d [,bc1] [,dd/] a | [bbc1] [fg] [ddd] X[d,,,a3/4] b/4 | \
[bbc3] [fg1] | [db1] [bd] [acc] [,cc] | \
[,dcb3/2] a/4 c [dcaa1] [bd] |";french5tab
191;;19_77r;Gott der Vater wohn uns bey und laß;;;;Cithrinchen;;C;"[,da1] ,d [ab] [cd] | [df1] d [cd] [,de] | [df1] [,de] [,aa] [,bc] | \
[,aa1] (X,,c3/4 ,,a/4) [,aadc2] :||: \
[,,adc1] [,,cc] [,aa] [,,cc] |";french5tab
192;;20_76v;An Waßerflüßen Babilon;;;;Cithrinchen;;C;"z1 [dff1] [fgf] [daa] | [abaaa1] [df] [bd] (Xb3/4 a/4) | \
[abaaa3] [,da1] | [abaaa1] [cb] [da] [bd] | \
[aba/] ,d X,d3/4 ,b/4 [,baaa2] :||:";french5tab
193;;21_76r;Nun kombt der heyden Heylandt;;;;Cithrinchen;;C;"[,dcb1] ,d [acc] [bd] | a/ ,d Xa3/4 ,d/4 [,dcc2] | \
,d/ a b1 d ,b | b/ d Xd3/4 b/4 [bbcd2] |";french5tab
194;;21_76r;Gelobet seistu Jesu Christ;;;;Cithrinchen;;C;",b1 ,b/ ,b ,d1 ,b/ ,d | a/ b d a [bbc2] | a/ b d1 f d/ b | \
a/ b X[,da3/4] ,b/4 [abaaa2] |";french5tab
195;;22_75v;Vom himmel hoch da [komm ich her];;;;Cithrinchen;;C;",b1 | d1 d [fg] [df] | b/ a b ,d [abaaa2] | z1 a/ b d1 f | \
[df1] a b/ a X[,da3/4] ,b/4 |";french5tab
196;;22_75v;In dulci Jubilo;;;;Cithrinchen;;3;",b1 | [,baaa2] ,d1 | [aba2] c1 | [daa2] f1 | [daa3] :||: \
[df2] f1 | [df2] b1 | Xa3/2 ,d/ a1 | [,bc2] ,b1 | [,de2] ,d1 |";french5tab
197;;23_75r;Ein Kindt gebohren zu [Bethlehem];;;;Cithrinchen;;3;",d1 | [,dccc4] ,d2 | X[a,,,a3] ,d1 a2 | [bd3] a1 ,d2 | [,cc6] | \
[bd4] d2 | f2 X[d,,,a3] b1 | [bbc6] | [bd4] b2 | [bd4] b2 |";french5tab
198;;23_75r;Ich dancke dir liber Herr;;;;Cithrinchen;;C;"z1 ,b1 [,baaa] (,b/ ,b) | [,bc1] ([,dcc3/4] ,b/4) ([,aa] ,d ,b ,a) X,,c3/4 ,,a/4 | \
[daa3] [,da1] | X[abaaa3/2] [,de/] ([,bc1] [,aa/4] ,d ,b ,a) |";french5tab
199;;24_74v;Mag ich unglück nicht widerstahn :/:;;;;Cithrinchen;;C;"z1 (X[,aaa3/4] ,c/4) [,de1] [,d(e/] [,,c)] | \
[aaa1] [daaa] ([cb/] a/8 c d/4 X[ca3/4]) a/4 | \
[aaaa3] [hi1] | [fd1] [df] [cee2] |";french5tab
200;;25_74r;O Gott wir danken deiner Güht :/:;;;;Cithrinchen;;3;"Xa3/4 ,d/4 | ([,bc3/2] ,a/) (,b ,d) | X[,a,a3/2] ,,c/ [,,caa1] | \
[aaa3/2] a/ [cecc1] | [daaa] z/4 h f d X[ca1] |";french5tab
201;;26_73v;Ach Gott vom himmel sieh darein :/:;;;;Cithrinchen;;C;"z1 [acc1] [bd] X[acc] | [,dcb1] [fg] ([fg/] [df]) X([bd3/4] a/4) | \
[acc3] [ac1] | [bd1] X[acc] [,dcb] [df] | \
[bd/4] f d b X[acc3/4] ,d/4 [,dccc2] :||:";french5tab
202;;26_73v;Es ist das heiyl uns kommen her :/: Sey lob und Ehr mit hohen Preyß :/:;;Verte Z.do Repetitio;;Cithrinchen;;C;"z1 [acc1] [aab] [acc] | [ac/] [cd] [df1] [cd/] ,,a X[acc3/4] ,d/4 | \
[,dccc3] X[aab3/4] ,d/4 | [,cc1] ,,c/ ,a [,cc] ,,b [,ecc1] |";french5tab
203;;27_73r;Mensch willtu leben Seeliglich;;;;Cithrinchen;;C;"z1 (X[,aa3/4] ,c/4) [,d(e3/4] [,,c)/4] [,da1] | \
[aaa1] [cecc] [daaa/4] (h f d) X[ca3/4] a/4 | [aaaa3] [cee1] | \
[daa1] [,de] [ab] X[,aa] |";french5tab
204;;28_72v;Wer nur den lieben Gott läst walten;;;;Cithrinchen;;C;"b/ | [bbcb3/2] [,bc/] [,dd/] ,d/4 X,a ,b3/4 ,,d/4 | \
[,,c(b3/4] [,,,d)/4] ,,,b1 z/ [,,cb] [,,dd] [,,db] | \
[,,aa1] [,bcb] X[,ba3/2] ,a/ | [,baaa3] :||:";french5tab
205;;28_72v;Warumb betrübstu dich mein Hertz;;;;Cithrinchen;;C;"z1 ,d [,dccc] [cd] | [acc1] [fh] [df] [cd] | [acc3] [cd1] | \
[,de1] [fc] [da] [fcc] | [,de3/4] a/4 [cb1] [daa2] |";french5tab
206;;29_72r;Kom Heyl: Geist Herre Gott;;;;Cithrinchen;;C;"z1 [dff] [fgf] [dff] | [abaaa1] [dff] [,ded2] | \
[ab/] ,a [cb1] [daa2] | [dff1] [fgf] [dff2] | \
[,da/] a [bde1] [abaaa/] ,d X[,da3/4] ,b/4 |";french5tab
207;;30_71v;Ein Feste Burg ist unser Gott;;;;Cithrinchen;;C;"z1 [daa1] [daaa] d | [,dcc/] a [cd1] ([daa/] c) Xa3/4 ,d/4 | \
[,dccc2] z1 [df1] | [ca1] [ab] [,da] [aab] |";french5tab
208;;31_71r;O Lamb Gottes unschuldig;;;;Cithrinchen;;C;"[,baa3/2] ,d/ [aba1] Xb3/4 a/8 b | [daa1] d f3/2 d/ | [daa3] d1 | \
X,b3/4 ,a/8 ,b [,da1] [aba] b/ a |";french5tab
209;;31_71r;O wir armen Sünder;;;;Cithrinchen;;C;"X[,dcc3/2] ,d/ [,dc1] ,d | [aba2] [,da] | [,bc1] [,aa] X,,c3/2 ,,a/ | \
[,,adc4] | X[,dc3/2] ,d/ [,dc1] [,da] | X[aba3/2] ,d/ [,bca2] |";french5tab
210;;32_70v;Jesus Christus unser Heyl[and];;;;Cithrinchen;;C;",d1 ,d [,ba] [,dc] | [a,c1] [,db] ,b ,a3/4 [,,caa/4] | \
[,,caa2] [,bc1] ,d | [aba2] ,d1 [,cc] | [,dcc3] [bd1] | \
[aba1] [,dc] [aba2] |";french5tab
211;;33_70r;Christus der uns seelig macht;;;;Cithrinchen;;C;"[haa3/2] h/ [haa1] h | Xf1 d [cee2] | [df1] [fh] [haa] h | \
Xf1 d [cee2] | [aa1] [ce] X[df3/4] c/4 [aba1] |";french5tab
212;;33_70r;Da Jesus an den Kreutze stundt;;;;Cithrinchen;;C;"[cee2] [daa1] [cee] | [aaa1] c/ d [fcc1] Xd3/4 c/4 | \
[cee3] [fcc1] | [daa1] [cee] Xd3/4 c/4 [aba1] | \
,d1 X,b3/4 ,a/4 [,aba2] |";french5tab
213;;34_69v;Christ lag in Todes banden;;;;Cithrinchen;;C;"[aaa2] [,ee1] [aa/] c | [daa3/4] c/8 d f1 [da] Xc3/4 a/4 | \
[aab3] a3/4 ,d/4 | [,bc1] [,da] X[aba3/4] a/4 [,de/] [,bc] |";french5tab
214;;35_69r;Christ fuhr gen himmel oder Christ ist erstanden;;;;Cithrinchen;ConcM11;C;"[aab2] [,da1] a/ c | d3/4 c/8 d [fff1] [aab2] | z1 [aab] a [,ded] | \
[ab/] [,de] [,bc1] ,a/ ,,c X,,c3/4 ,,b/4 |";french5tab
215;;35_69r;Erstanden ist d: heiylige Christ;;;;Cithrinchen;;3;",b2 | [,baaa4] a2 | [dbaaa4] [de2] | [abaaa4] [cd2] | \
[dff4] d2 | [bd4] [aba2] | [,ded4] d2 | a2 ,b ,d | [abaaa6] |";french5tab
216;;36_68v;Ach Gott und Herr etc:;;;;Cithrinchen;;C;"[daa2] [cd1] [ac] | [,dccc2] z1 [,dc1] | [aba] [cd] z1 [daa] | \
[ac1] f2 [dc1] | [cd1] a/ c X[acc3/2] ,d/ | [,dcc2] z1 d |";french5tab
217;;36_68v;Ich hab mein Sach [Gott heimgestellt];;;;Cithrinchen;;C;"z1 ,d1 [,dba] [,da] | [,bc1] [bd] [ac] [,dcb] | [acc3] ,c1 | \
[,cc1] X[ca] [dcb] [,aa] | [,cc1] X,d [,dccc2] |";french5tab
