PieceNr;Key;PageNr;Name;Composer;Comment;deuNotes;Tuning;Concordances;TimeInz;Tab;TabNotation
61;;23r;58.te Saraband;;;;Cithrinchen;;3;",d1 ,,c ,d | X,b3/2 ,,d/ ,,c1 | f1 ,c ,d | X,d3/2 ,c/ ,d1 | \
[acc1] a f/ d | X[bd3/2] b/ a1 |";french5tab
62;;23v;59. Was hilfft mir deine Treu;;;;Cithrinchen;;C;"a/ | f/ d [daa3/4] b/4 a/ [abaaa1] ,d/ | ,,b/ a ,b3/4 ,a/4 ,b/ ,,c1 a/ | \
b/4 a ,d/ d/4 c d f d/ ,,a1 ,a/ |";french5tab
63;;23v;60. Hastu jemand lieber alß mich;;;;Cithrinchen;;C;"[aba3/2] ,b/4 ,d Xa1 ,b | d/ f d b [aba1] ,,,,a | \
d/ f h i d Xd3/2 b/ | [aba2] ,,,,a1 :||:";french5tab
64;;24r;61. Gavott;;;;Cithrinchen;;C;",,a1 ,b a/ b d1 | ,d/ a b d a ,b ,,,,a1 | \
a1 ,d/ ,b ,a ,,c ,,a d |";french5tab
65;;24r;62. Canarie les nations;;Verte Zde: Repetit.;;Cithrinchen;;3;"[df3/2] c/ d1 | [ab3/2] b/ d1 | ,d1 a ,b | X,a3/2 ,,c/ ,,a1 | \
X,b3/2 ,a/ ,,c1 | [bd3/2] d/ f1 |";french5tab
66;;24v;63. Opra Dantz Leberger;;;;Cithrinchen;;C;",b1 ,d a/ ,d ,b1 | Xa3/2 b/ d1 d | f1 a b d/ b | \
Xa3/2 ,d/ [,da2] :||:";french5tab
67a;;25r;64. Englisch Danß;;;;Cithrinchen;;C;",,c1 | ,,c3/4 ,a/4 ,,c1 ,,b3/4 ,,,c/4 ,,,a1 | \
[,bc2] ,a1 a | a3/4 b/4 a1 ,d ,b | [dba2] [aba1] b |";french5tab
67b;;25r;65. Proport:;;;;Cithrinchen;;3;",,c1 | ,,c3/2 ,a/ ,,c1 | ,,b3/2 ,,,c/ ,,,a1 | [,bc3] | \
[aaba2] a1 | [aba3/2] b/ a1 | X,d3/2 ,b/ ,a1 | [dba3] | \
[aba2] b1 |";french5tab
68;;25v;66. Englisch Danß Bufco:;;;;Cithrinchen;;C;",b2 ,,,a | ,,,,c2 X,a3/2 ,,c/4 ,a | ,b3/2 ,,a/ ,,a3/2 ,,,b/ | \
X,,,a3/2 ,,,,c/ ,,,,a2 :||: ,b3/4 ,a/4 ,b1 ,,c3/4 ,a/4 ,b1 |";french5tab
69;;25v;67. Galliard [sic!];;;;Cithrinchen;;C;"a1 | [aaaa2] [,ee] | [aaaa3/2] c/ d3/2 f/ | [cda2] a1 | \
,d3/2 ,a/ [,bc3/2] ,,c/ | ,d/ ,b ,a1 X,,c3/2 ,,a/ | \
[,aadc3] :||:";french5tab
