PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;Pratum Musicum Longe Amoenissimum 1984
35b;;45r;Tre gratiosi amanti a 6.;Giovanni de Macque;Ad Unisonos;OT;;C;"z/ [ff,,a] [fh,a3/4] [ff,,e/4] [fh,a/] [df,c] [ce,,c/4] ,c ,e ,f | \
,e/ [a,,c] [acd3/4] [aac/4] [acd/] [,df] [,cee] c | \
f/ [,c,e] [c,,b] [df,c] [ce,,c1] [ef,c/] [fh,a3/4] |";
;;;Sequuntur Madrigales et Cantiones Napolitanae Tribus et Quatuor Testudinibus Ludendae;;;;;;;
36a;;46v;Io vo gridando.;;Canto;OT;;C;"f1 f/ f g/4 d/8 f g d f g f/4 d/8 c a ,d ,c ,a | \
,,d/ f f1 z/ f/ f f |";
36b;;47r;Io vo gridando.;;Alto;OT;;C;"[,dff,d1] [,dff,d/] [,dff,d] [abb,d1] [,dff,d] | \
z/ [,dff/] [,dff] ,,f ,,f [,dff,d] [,dff,d] [,dff,d] |";
36c;;47r;Io vo gridando.;;Basso;OT;;C;"[abb,d1] [abb,d/] [abb,d] [,bdd,b1] [abb,d] | \
z/ [,bb,d/] [,bb,d] a a [abb,d] [abb,d] ,,,,d |";
37a;;47v;Donna crudel.;;Canto;OT;ConcR869;C;"[dab,,d2] [dbb,d1] [c,da/4] d c/ | \
[dab,,d1] [,db,,d/4] ,a ,b ,d [abb,d/] ,,b [,dba,d] [,dda] |";
37b;;48r;Donna crudel.;;Alto;OT;;C;"[ffh,hf2] [fddef1] [effc/] c/4 e | \
[fcd,a1] [acd,a/] ,,,c [cdda] ,,d [acd,a] [aadc] |";
37c;;48r;Donna crudel.;;Basso;OT;;C;"[,,daa,a2] [,aba,d1] [,cdca] | \
[,,da,,a1] [,dda,,a] [,dba,d] [,dda,,a/] [,cdca1] [,,da,c/] [,acc,a1] |";
38a;;48v;Madonna mia pieta.;;Canto;OT;ConcR2844;C;"[,aba,d1] [,ab,,d/] [,ab,,d] [,dda] [,dda] [,cdca3/8] ,a/8 ,c ,a ,c ,d | \
,c/ [,cdca] [,db,,d] [abb,d] [,dda/4] b a ,d [,cdca3/4] ,d/4 |";
38b;;49r;Madonna mia pieta.;;Alto;OT;ConcR2844;C;"[,,dca1] [,,dca/] [,,dca] [,abc,a] [,abc] [,aa,c/4] ,,,,a ,,,,c ,,,,e | \
,,,,c/ [,aa,c] [,cd,a] [,dda] [,abc] [,ab,,a] [,aa,c1] |";
38c;;49r;Madonna mia pieta.;;Basso;OT;ConcR2844;C;"[,,da,,a1] [,,da,,a/] [,,da,,a] [,bdca] [,bdca] [,acc,a] ,,,c | \
[,ac/] [,acc,a] [,dda,,a] [,dba,d] [,bdca] [,bdca] [,acc,a1] |";
;;;Con 4. Testudini;;;;;;;
