Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
31;;25;Prel.de;;;guitar;;C;",,,,a/8 ,,,a ,,c ,d a (b a) b (d b a) ,d a (,d ,c ,a) \
(,,c/4 ,,d ,,c ,,a) ,,,d ,d ,,,c ,c |";french5tab
32;;25;Allem.de;;;guitar;;C;"!strumup![fgh3/4] !strumup![fgh/4] | \
!strumdown![fgh1] !strumup![fgh] !strumdown![ffg(hh/] X[,,,f)] ,,,,i ,f | \
,,,a/ a !strumdown![bdc] !strumup!d !strumdown!X[ddd3/2] ,g/4 d | \
,,,,a1 k X[kl,,a3/2] l/ |";french5tab
33;;26;Cour.te;;;guitar;;3;"!strumup![fgh/] | !strumdown![fgh3/2] ,i/ !strumdown![fgh1] | \
!strumdown![gddd1] ,,,,d/ (,f ,g) d | !strumdown![fgfdd1] X,,,d3/2 ,f/ | \
X[,dd1] X,,,,e3/2 ,d/ | !strumdown![dfdfe1] !strumdown![dfdfe/] \
!strumup!,g !strumdown!,f !strumup!,d |";french5tab
34;;27;Sarab.de;;;guitar;;3;"!strumdown![fgh1] !strumdown![fgh/] !strumup![fgh] [l,a1] | \
X[k,,,a1] ,l/ k l1 | !strumdown![bd1] X[ac,,a3/2] d/ | \
X[b,,a1] ,d/ d f1 | !strumdown![dfffd1] ,,,,d/ f [g,a1] |";french5tab
35;;28;Prel.de;;;guitar;;3;"a/ | ,b/ ,,c a ,,,,a ,,,c ,,c | ,a/ (,,c/4 ,,b) (,a/ ,c ,d) a | \
,,,,a/ ,b b (,,c X,,a) a |";french5tab
36;;28;Allem.de;;;guitar;;C;"!strumup![,bcc3/4] !strumup![,bcc/4] | \
!strumdown![,bcc1] !strumup![,bcc] !strumdown![,bcc/] (d Xb a) | \
[f,,d1] ,f/ f X,d3/2 f/ | [fa,c1] Xe [hg,a3/2] h/ |";french5tab
37;;29;Courante;;;guitar;;3;"!strumup![,bcc/] | !strumdown![,bcc3/2] ([e,e/] [f,f)]) ,d/4 (f | \
a/) ,a a (,d X,b3/4) ,a/4 | \
,,,,a1 !strumdown![,bcc/] ,,,c ,,c (,,a/4 ,,c) |";french5tab
38;;30;Sarab.de la Victoire;;;guitar;;3;"!strumdown![,bcc1] !strumup![,bcc/] f !strumdown!X[efe1] | \
!strumdown!X[fffhh3/2] h/ !strumdown![iffhh1] | \
!strumdown![fgfhi1] !strumdown![hghff/] !strumup!i !strumdown!h !strumup!f | \
!strumdown![efecc1] !strumdown![efecc/] !strumup![efecc] [f,,e1] | \
[hf,g1] ,,,c/ (,,,d X,,,c) ,,,,f |";french5tab
39;;31;Passag.;;;guitar;;3;"!strumdown![,bcc3/2] [,d,,c/] | [a,,,d1] !strumdown![cdc3/2] [f,,d/] | \
[ea,c1] [ea,Xa3/2] e/ | [ff,,d/] ,,,,f X[ff,,h3/2] e/ | \
[f,,,a1] || (,f/ ,g) ,,,f ,f | [ff,d1] [fXd,d3/2] ,d/ |";french5tab
40;;32;Sarabande;;;guitar;;3;",a1 | !strumdown![,bcc1] !strumdown![,d,,c3/2] ,d/ | \
[ad,,d1] X,b3/2 a/ | !strumdown![cdc1] [ea,Xa3/2] f/ | \
[ff,,d2] f1 | [ff,,e1] X[df3/2] a/ | [bf,a1] X,d3/2 d/ |";french5tab
