Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
36;;18v;[sans titre];;;Mandora;Conc_4708;3/4;",d/ a | V[d,,,,a1] ,,,,c/ d ,,,,,a d | [c,,a1] ,,,e/ c ,,,a c | \
V[d,,,,a1] [,d,a] [,bc,a] | '[,a,,,a1] ,,c/ ,a ,,a1 |";french5tab
37;;18v;[sans titre];;;Mandora;Conc_4709;3/4;"[,d,,,a1] d c | [d,,,,a1] 'c/ a ,d1 | [a,,,d1] [,d,,c] [a,,,d] | \
'[,b,,a2] [,a,,,a1] | [a,,,d1] [,d,,c] [a,,,d] |";french5tab
38;;19v;[sans titre];;;Mandora;Conc_4710;6/8;",d/ | '[,a,,,a/] (,a/4 ,b) ,d/ '[,a,,,a] (,a/4 ,b) ,d/ | \
X[,,ca3/2] ,,c1 ,d/ | [ab,,d/] a/4 c d/ ,,,a d 'c |";french5tab
39;;20v;[sans titre];;;Mandora;Conc_4711;3/4;"V[d,,,,a1] ,,a d | '[c,,a1] a ,d | ,,,,d/ a ,,,,c ,d ,,,,a ,b | \
'[,a,,,a1] ,,c/ ,a ,,a1 | ,,,,,a1 ,a/ ,,,,,a ,,,,a ,b |";french5tab
40;;20v;[sans titre];;;Mandora;Conc_4712;6/8;"[,d,,c/] | [d,,,,a/] c d [,d,,c] a [,b,,a] | \
[,a,,,a/] ,b ,d ,,a1 [,d,,c/] | \
[a,,,d/] [,d,,c] [a,,,d] [,,ca] ,a ,b |";french5tab
41;;21v;aria adagiosissima;;;Mandora;Conc_4713;C;"[,,a,,a1] ',a/4 ,,c ,a ,,a [,d,,,a/] ,,,,a ,,,,c [a,,,,a] | \
'[,b,,a1] V,b/ ',d '[,a,,,a] ,,c/4 ,a ,,a/ ,d/4 a |";french5tab
42;;22r;[sans titre];;;Mandora;Conc_4714;3/4;"[,d,,,a/] ,a ,,a ,a ,d a | '[,b,,a2] '[,a,,,a1] | \
[,,ca1] ,b/ ,a ,,c ,,a | ,,,e1 ,,a/ ,,c ,,,a1 |";french5tab
43;;22v;Marche;;;Mandora;Conc_4715;C;",,,a/ | '[,,a,,a/] ,,,e ,,a ,,c '[,,a,,a1] [,,ca] | \
'[,a,,,a/] [,,ca] [,aa] [,bc] [,aa,,a1] [,bc,a] | \
[,da,c1] d/ ,a [,bca1] ,d/ ,,c |";french5tab
44;;23r;Menuet;;;Mandora;Conc_4716;3/4;",,a/ ,,,a ,,a ,,,a ,,a ,,,a | '[,,a,,a1] ,,a/ ,,c ,a ,,a | \
'[,,ca1] ,,c/ ,,c ,,c ,,c | [,,ca1] [,aa,,a] V[,b,,a] |";french5tab
45;;23v;[sans titre];;;Mandora;Conc_4717;C;"V[d,,,,a1] '[c,,a] V[d,,,,a/] ,d ',a/4 ,,c ,,a ,,,e | \
,,a/ ,,,,c/4 ,,,,d ,,,a/ ,,,c ,,,a/4 ,,,,d ,,,,c ,,,,a ,,,,,a/";french5tab
46;;24v;Trio;;;Mandora;Conc_4718;3/4;"[,d,,c1] ,b/ ,a ,,c ,,a | [ab,,d1] '[c,,a] V[d,,,,a] | \
[,,ca1] ,a/ ,b ,d1 | '[,a,,,a1] ,,c/ ,a ,,a1 | \
,,a/ ,,a ,,,e ,,a ,,,c ,,a |";french5tab
47;;24v;Quique;;;Mandora;Conc_4719;6/8;"[,,ca/] | ,,,,,a/ ,a [,,ca] ,,,,,a ,a [,,ca] | \
,,,,,a/ ,a [,,ca] [,,a,,a1] [,,ca/] | \
,,,,c/ ,d [,b,,a] ,,,,c ,d [,b,,a] |";french5tab
48;;25v;Menuet;;;Mandora;Conc_4720;3/4;",,,,,a1 [da] [cb,a] | ,,,,,a1 [da] [cb,a] | \
,,,,,a/ d c a [,d,a] ,b | '[,a,,,a2] [,,ca1] | \
,,,,d1 [ab] [,da,c] | ,,,,a1 [,bc] [,aa,,a] |";french5tab
49;;26r;[Trio];;;Mandora;Conc_4721;3/4;",,,a/4 ,,,c ,,,e | ,,,f/4 ,,a ,a ,,a ,,,f ,,a ,a ,,a ,,,e ,,a ,a ,,a | \
,,,c/4 ,,a ,a ,,a ,,,c ,,a ,a ,,a ,,,a1 |";french5tab
50;;26v;Presto aria;;;Mandora;Conc_4722;6/8;",d/ a | V[d,,,,a/] 'c/4 a ,d/ '[,a,,,a1] [ab,,d/] | \
[,a,,c/4] ,d a ,d ,b/ '[,,ca] ,,c/4 ,,a ,,c/ |";french5tab
51;;27r;Ihro Maiestät des Königs in Preysen favorit;;;Mandora;Conc_4723;3/4;"[,aa,,a/] [,bc] [,de1] [,bc] | [,aa,,a1] [,de] Vd | \
[,aa,,a1] [,de] [,bc] | [,aa,,a1] [,de] Vd | \
[,aa,,a/] [,bc] [,de1] [,bc] | [,aa,,a1] [,de] Vd |";french5tab
;;;Parthia Prima ex f # Mandora;;;;;;;
52;;27v;Intrata - Andante;;;Mandora;;C;"[,da,,a/4] | ,,,,,a/ ,,a ,,,,a ,,a ,,,,c ,,a ,,,,,a ,,a ,,,a ,d ,,,c ,d ,,,e ,d ,,,a ,d | \
,,,,,a/ ,,a ,,,,a ,,a";french5tab
