PieceNr;Key;PageNr;Name;Composer;Comment;deuNotes;engNotes;Tuning;Concordances;TimeInz;Tab
11;a moll;6r;Courente;;;Anfang fehlt im Film und evtl. ebenfalls im Manuskript. Incipit von A-SEI / 35v.;Beginning is missing in film and probably also in the manuscript. Incipit from A-SEI / 35v.;;Conc_3744;3;"h/ ,k h | ',h1 ,,h ,,,h | ,,a ,,,,c ,,,,,d | ,,,,,a/ ,,a {,,a} (,,c ,,a) ,,,d | \
[,,aVe,a3/2] ,,c/ ,,d ,a | ,c ,,,e ',,,d1 ',a |"
12;a moll;6v;Sarabande;;;Blatt 7r ist unbeschrieben.;Folio 7r is blank with staves.;;Conc_2145;3;"[,,,,ca1] V,,,,d ,,,,,c/ ,,,c | {4}/ ,,,c ,,,,c1 ,,a/ ,,,c | \
'[,,,b{,,,a}1] V,,c [,,a,cd] | {,,a}/ ,,,,,c ,,a ,,,d [,,aVe,a1] |"
13;a moll;7v;[Allemande];;;;;;Conc_3743;C;"e/ | [ecde,a1] ,,,e/ 'c/4 a ,c/ ,,,e ,,,d ',a | \
,,,,,a/4 ,,d ,,,e/ [,,ce{,,a}] ,,,d/4 ,,a/8 [,,,(d] [,,ae)/] {,a} ,a '[,c{,,a}] |"
14;a moll;8v;[Menuet];;;;;;Conc_740;3;"[ecd,,a1] (,c/ ,a) (,,d ,,c) | ',,a1 ,,,,,a/ (,,c ,,d) ,a | \
V[,c{4}1] (,d/ ,c) [,a{,,,a}] ,,d | [,,c{,,a}/] ,,,,e ,,,,d ,,,,,e (,,,,,c ,,,,,a) | "
15;a moll;9v;Guigue;;;;;;Conc_3745;C|;",,a/ | [,,aVe,a3/2] ,,c/ V,,d ,,a X,,d ,a | \
V,c/ ,,,e ',,,d ',a ,,,e/4 ,,c ,,d/ ,,,,c/4 ,,c ',,,d/ |"
16;F dur;10v;Prelude;;;;;;;;{,a}/ ,,a a c e ,d {,,a} c ,,d e {,,,a} ,,,d a ,,a ,,c c {4} ,c ,,d ,,,,,b ,,,,,a
17;F dur;11r;Ouverture;;;;;;Conc_5367;C|;"a/ | [aVda{,a}1] ,,,a X,,d > ,,d | [,,dcc{,,a}2] [,,dcc/] ,,d ,a ,c | \
[aVda{,,,a}1] ',a ,,,,,c/ ,a c c |"
18;F dur;12v;[Courante];;;;;;Conc_5368;3;"a/ ,,d ,,b | '[,,a{,a}3/2] ,,,c/4 ,,a ,,,a1 | (,,a/ ,,b/4 ,,d) [,aba{d}1] [,aba/] ,a | \
'[,cb{a}1] > ,c [aVda,,a] |"
19;F dur;13v;Guigue;;;;;;Conc_3601;6/8;",,d/ | [aVda{,a}1] c/ (e c) a | [Vc{,,a}3/2] Vh1 ,,h/ | \
([a{,,,a}/] c) e ([c,,,,c] e) ,d | [,'c{4}3/2] ,,d1 ,h/4 f |"
20;F dur;14v;Pasepiè;;;;;;;3;"[Ve,,a1] | ['c,,,c1] ,,,,a/ a [,c,,,d1] | [aVda,a1] [ada] [,,d,,a] | \
[,aba{d}1] (,b/ ,a) (,,d ,,b) | [,,'a{,a}1] ,,,a [,,d,c] |"
21;a moll;15r;Menuet;;;;;;Conc_3961;3;"V,,d1 ,,,,,a [,a,,,c] | [,Vc,,,d1] {4} X,c | [,,,'d{,,a}1] ,,,,c ,,,d | \
V,,d1 ,,,,,a [,a,,,c] | [,Vc,,,d1] {4} X,c | "
