Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
61;;37;Menuette;;;guitar;;3;"!strumup![,b,cd3/2] b/ d1 | !strumup![bdc3/2] a/ [b,,a1] | \
!strumup![,d,,c3/2] a/ [b,,a1] | !strumup![,b,cd2] !strumdown![,b,cd1] | \
!strumup![,bdd3/2] c/ d1 | !strumup![cdc2] !strumdown![daa1] | \
!strumup![dff3/2] f/ [c,,a1] |";italian5tab
62;;38;Gigue;;;guitar;;6/8;"!strumdown![,b,cd/] | !strumup![,b,cd3/2] !strumup![,b,cd1] !strumdown![,d,,c/] | \
!strumup![,bcc1] ,b/ [a,'a1] [b,,d/] | !strumup![db,c1] a/ f ,,,d [a,,,e] | \
,,,a/ b ,,,,a !strumup![d,,,c1] b/ |";italian5tab
63;;38;Ciaccona;;;guitar;;3;"!strumdown![,b,cd/] | !strumup![,d,,d1] !strumup![,d,,c] !strumdown![,d,,c] | \
!strumup![,dcc1] !strumup![,bcc] c | !strumup![dba1] !strumup![d'aa3/2] b/ | \
!strumup![,b,cd1] !strumdown!b a | !strumup![,d,,c1] !strumup!'[,bb,c3/2] ,a/ | \
!strumup![,bcc1] !strumup![bbcd] ,d |";italian5tab
64;;42;Prelude;;;guitar;;C;",,,a/4 ,,c ,a ,c ,d a c d f c d f ,d ,,,e ,,a ,,c | \
,,,a/4 (,,,,a ,,,,c ,,,,e) (,,,a ,,,c ,,,e) (,,a ,,c)";italian5tab
65;;43;Allemande;;;guitar;;C;"!strumdown![fhh/] | !strumup![fhh1] !strumdown![fhh/] !strumup![ffg/4] !strumdown![ffg] !strumup![fhh/] ,,e/4 d ',,c3/4 ,,a/4 | \
[fd,e/] 'd/4 f [haa/] (,,,e/4 ,,,f) \
[da,c/] ,,,,c ,,,,e/4 ,f (d f) |";italian5tab
66;;43;Courante;;;guitar;;3;"!strumdown![cdc/] | !strumup![cdc3/2] ,,,a/ d ,,,c | \
,,,e/ f [dd,,c3/2] d/ | [df,,e1] ,d/ a !strumup![cdc1] | \
[,,a,c/] a '[a,,,a3/2] ,d/4 a | ,d1 ,,,a ,,,e/ f |";italian5tab
67;;44;Sarabande;;;guitar;;3;"!strumup!'[fhh3/2] h/ !strumup![fhh1] | !strumup![d,,c1] (c/ d) [f,,,e] a | \
!strumup![cdc3/2] d/ [cd,,c1] | [a,,,e1] ,,,a/ a [c,,,a] ,c | \
[,d,,c1] !strumup![adb3/2] ,a/ |";italian5tab
68;;44;Gigue;;;guitar;;6/8;"!strumdown![,dca/] | !strumup![,dca1] !strumup![,dca] ,d/ a | \
!strumup![cdc1] !strumdown![cdc/] '[a,a1] ,d/ | \
!strumup![,ccc1] a/ Xf1 ,,c/ | ,,e1 ,d/4 c Xd1 ,,a/ |";italian5tab
69;;45;Prelude;;;guitar;;C;"[lhhaa2] [ihhaa1] 'h3/4 ,k/4 | [fkha1] ',i3/4 ,h/4 [hiha2] | \
[fhha2] (g/4 f) (h f) 'f/ ,,,f/4 ,h | [dfhaa2] [dfga] |";italian5tab
70;;45;Allem.;;;guitar;;C;"([fhha/4] [fhha]) | !strumup!'[fhha1] ,,,a/4 c ,,,c d [f,,e/] ,,,a !strumup![haa3/4] h/4 | \
'[fh,a/] ,d c f ,d ,,,a [fd,e] ,,c/4 [ac] |";italian5tab
71;;46;Courante;;;guitar;;3;"!strumdown![fhh/] | !strumup![fhh3/2] (,h/ ,i) f | \
[ai,a1] [,fg3/2] f/ | [,hh1] ,,,a/ ,d '[,c,c] ,a | \
[,,ce1] ,a3/2 ,c/ | [,aa1] [ac] [cd,e] |";italian5tab
72;;46;Sarabande;;;guitar;;3;"!strumup![bcddb1] !strumup![bcddb/] d V[fd,e1] | \
!strumup![haa1] ,,,,a/ ,c d f | '[c,,a1] !strumup![cdc3/2] !strumdown![fhh/] | \
!strumup![fhh1] !strumup![hhh3/2] !strumdown![hhh/] | \
!strumup![hfg1] !strumup![ffg3/2] ,h/4 a |";italian5tab
73;;47;Gigue;;;guitar;;6/8;"Xf3/2 ,,,a1 d/ | 'c1 ,,c/ a1 ,,a/ | [,d,e1] ,,,a/ c1 ,,,,d/ | \
[d,,,c1] ,d/ [c,,,a1] ,b/ | !strumup![daa1] l/ ,,,h1 i/ |";italian5tab
74;;47;Allemande;;;guitar;;C;"(!strumdown![cdc/4] !strumdown![cdc]) | \
!strumup!'[cdc1] !strumdown![cdc/] ,,,c/4 d [fd,e/] ,,,a [ff,,e3/4] d/4 | \
!strumup![cdc/] (h/4 f) ,,,f ,h a ,,,a [a,,,e/] [c,,a] \
!strumup![ada/] ,,c/4 ,c |";italian5tab
75;;48;Courante;;;guitar;;3;",d/ | !strumup![,dca3/2] a/ !strumup![cdc1] | d/ c '[a,a3/2] ,d/ | \
'[,c,,a1] ,,c [f,,e] | [d,,c3/2] c/ [acc1] | !strumup![cdc1] !strumdown![cdc] [ad,c] | \
',c/ ,a [,cee3/2] ,,d/ |";italian5tab
76;;48;Double;;;guitar;;3;",d/ | [,d,a/] ,,c ,d a c ,c | ,a/ d ,,a c [a,b] ,d | \
,,c/ ,c a ,,a ,,,e f |";italian5tab
77;;48;Sarab.;;;guitar;;3;"!strumup![bdddb1] ,,,f/ ,h ',f ,,h | !strumup![ffgh1] (,,,f/ ,,,h) ,,,e ,d | \
!strumup![ddef1] ,,,c/ c [da] ,c | \
!strumup![bcddb1] (,,c/ ,,e) ,,a a |";italian5tab
78;;49;Allemande;;;guitar;;C;"(!strumdown![fhh/4] !strumdown![fhh]) | \
!strumup![fhh3/4] (f/8 d) ,,,e/4 a ,,,a ,c ,,,,c ,d a c X[da,c3/4] ,,,a/4 | \
,,,,e/4 a Xc d [f,,e3/4] [d,,c/4] \
[c,,a] (f 'd) c [ad,,a/] ,,c/4 ,c |";italian5tab
79;;49;Courante;;;guitar;;3;"(f/ 'c) a | !strumup![cdc1] !strumdown![cdc] ,,,e/ f | \
!strumup![haa1] '[fh,,a3/2] [df/] | !strumup![bcddb3/2] d/ [fd,e1] | \
,,,a/ c X[df1] ,,,,e | [cd,a1] ,d/ f '[da] c |";italian5tab
80;;50;Courante;;;guitar;;3;"(,c/ ,d) a | [c,,a1] !strumup![cdc] Xd/ ,,,c | [fd,e1] !strumup!'[daa3/2] d/ | \
!strumup![dccc1] ',a/ ,c ,,,e [cd] | \
,,,f/ a '[a,,,a3/2] ,d/4 a |";italian5tab
81;;50;Sarabande;;;guitar;;3;"!strumdown![hhh/] | !strumup![hhh1] !strumup!'[ffg3/2] f/ | \
!strumup![fde1] !strumup!'[dde3/2] c/ | !strumup![caa/] a '[a,,,a3/2] ,d/4 a | \
,d1 ,,,a3/2 c/ | !strumup![cdc1] !strumup![bcddb3/2] ,d/ |";italian5tab
82;;50;Gavote;;;guitar;;C;"!strumup![,dca1] ,,,,e/ a | !strumup![cdc1] ,,e/ d ',,c3/2 ,,a/ | \
[fd,e1] ,,,a !strumup![haa] k/ l | \
[ki,,a1] ,h/ l !strumup![lik1] ,,,,a/ k |";italian5tab
83;;51;Gigue;;;guitar;;6/8;"f/ 'c1 h/ | 'f1 ,d/ ,a3/4 d/4 ,f/ | [cd3/4] d/4 [fc/] [ha3/4] f/4 ,h/ | \
d1 [df/] 'c1 [cd/] |";italian5tab
