Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
31;;35;chanson;;;guitar;;3;"[,d,a2] ,,,c1 | ',,,d3/2 ,,a/ ',,c1 | [,d,,b1] a X[,c,,a] | \
([,c,a/] ,d3/2) a1 | b/ ,b3/2 ,,,a/4 (a b/) | \
[,b,,a1] (,,d/ ,,c) ,,a/4 ,,,d ,,a/ |";french5tab
32;;36;chanson;;;guitar;;3;"!strumdown![bdc2] ,,,d/4 (d f/) | X[a,,,d2] (a/4 b d/) | \
X[b,,a3/2] a/ [,d,,b1] | X[,c,,a1] a [f,,d] | \
!strumdown!X[bdc2] ([f,a/] g) | X[a,,,d2] f1 |";french5tab
33;;37;chanson gigue;;;guitar;;3;",,,,a1 | '[,d,a3/2] (a/ b1) ([d,,,a/] a3/2) [b,,a1] | \
X[a,,,d3/2] b/ ,d1 !strumdown!X[,ccc3] | \
,,,a/ (a b1) ,d ([ac/] b d1) b";french5tab
34;;39;chanson;;;guitar;;3;"!strumdown![bdc1] ,d [,,c,e] | X,,,d3/2 ,,a/ ,,,,a1 | \
[,d,,b1] (a/4 b d/) (b/4 a) b/ | X[,c,,a3/2] ,d/ [a,a1] | \
'[b,,a1] X,b3/4 ,,d/4 ,,,,a1 |";french5tab
35;;41;Sans titre;;;guitar;;3;"!strumdown![bdc3/2] f/ ,d1 | X[ac,,a2] ,,c1 | [,,cd1] [d,,c] (b/4 a) ,d/ | \
!strumdown!X[,ccc3] | z1 f1 ([f,,f/] g) | \
z1 f3/4 d/4 !strumdown!X[cdc1] |";french5tab
36;;41;Sans titre;;;guitar;;C;"!strumdown![bdc3/2] d/ X[a,,,d1] f | !strumdown![dddd3/2] b/ [d,,c1] [a,,,d] | \
!strumdown![bdc3/2] d/ X[a,,,d1] (f/ d) | \
'[b,,a1] (d/ f) ([f,a] g) f1 |";french5tab
37;;43;Sans titre;;;guitar;;3;",,,a1 | ,d/4 (a b/) !strumdown![fgfdd1] !strumup![fdfdd] | \
(f/4 h i3/2) d3/4 b/4 | X[a,,,d1] !strumdown![dfffd] !strumup![dfffd] | \
(d/4 f g3/2) Xd1 |";french5tab
38;;44;gigue;;;guitar;;C;",d/ a | !strumdown!([cdc/] a (c d) !strumdown!([cdc] d) f1 | \
([f,,,a/] d) ,h a ,,,a1 ,d/ a | \
!strumdown!([cdc/] a) (c d) ([,aa] ,c ',d1) |";french5tab
39;;45;gigue;;;guitar;;C;"f1 | !strumdown!X[cdc3/2] a/ '[c,,a1] ,d | [ad,,a1] X,c ([,c,,c/] ,d) ,a1 | \
X[,c,,a1] a2 ,,c1 | ([,aa/] ,c ',d1) X[,aa3/2] ,,a/ |";french5tab
40;;46;gavote;;;guitar;;C;"!strumdown!X[fhh3/2] h/ [f,g] ,i [,hh1] | X[df,,e3/2] f/ !strumdown!X[cdc2] | \
X[cd,a3/2] [a,,,e/] ([c,,a] a) ([,c,,c] ,d) | \
X[,cbc3/2] ,d/ !strumdown![,ccc2] |:|";french5tab
41;;47;gigue;;;guitar;;3;"!strumdown!X[cdc2] [d,,c1] | [fd,e3/2] d/ [c,,a1] | [h,a3/2] f/ ,i1 | \
!strumdown!X[cdc3/2] a/ ,,,a1 | !strumdown!X[cdc2] [d,,c1] | \
[fd,e2] [a,c,e1] | [,db,c3/2] ,c/ [,db1] | \
!strumdown!X[,ccc3] |:|";french5tab
42;;48;tronpete;;;guitar;;3;"!strumdown![fhh1] !strumup![fhh/] !strumdown![fhh] !strumup![fhh1] | \
!strumdown![cdc1] (c/ d) f1 | '[,d,a2] ,,,,a1 | ,,,a1 ,d/ a !strumdown![cdc1] | \
!strumdown![,ccc1] !strumup![,ccc] f |";french5tab
43;;49;chanson;;;guitar;;3;",d/ a | !strumdown![cdc1] !strumup![cdc1] (c/4 a) ,d/ | \
!strumdown![,ccc1] !strumup![,ccc1] (c/ a) | ([,c,,c/] ,d) ,d1 (a/ c) | \
([,,b,a/] ,,d3/2) (,d/ ,c) |";french5tab
44;;50;marche;;;guitar;;C;"!strumdown!X[cdc3/2] a/ ,,,a (a c d) | !strumdown![fccc1] (d/ c) !strumdown![,ccc1] f | \
'[,d,a1] ,a ([a,b/] c a) ,d | \
([,c,,a/] ,d) (,c ,a) '[,,cd1] ,,c |";french5tab
45;;51;gigue;;;guitar;;3;"!strumdown![fhh2] !strumup![fhh1] !strumdown![fhh3/2] h/ f1 | \
!strumdown![ddeff2] !strumup![ddeff1] !strumdown![ddeff3/2] f/ d1 | \
!strumdown![cdc2] !strumup![cdc1] !strumdown![cdc3/2] d/ c1 | \
X[a,,,a3/2] c/ a1 ([,c,a] ,d2) |:|";french5tab
46;;52;chanson;;;guitar;;3;"!strumdown![,dc1] ,,c ,d | !strumdown!X[,ccc2] ,d1 | \
X[a,,,e3/2] c/ (d c) | !strumdown!X[cdc2] d1 | \
X[a,,,e1] (c/ a) (,d ,c) | '[,d,,c3/2] a/ (c a) |";french5tab
47;;53;gigue;;;guitar;;3;"!strumdown!([,cc/] ,d3/2) c1 | [c,,a1] ,d c | !strumdown!X[,ccc2] a1 | \
[a,,,a1] ,c ,,c | !strumdown!([,cc/] ,d3/2) c1 | \
[c,,a1] ,d c | !strumdown!([eccc1] f2) |";french5tab
