Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
26;G dur;18v;Chacone;;;Th;Conc_2532;3;",,,,a/ ,,,a a | Vc1 '[a{,a}] (,d/ ,c) | V[,d{,,a}1] ,,,,,c/ ,,a ,d ,,,,,d | \
,,,,a1 {,,,a}/ ,d a ,c | V[,d{a}3/2] ||"
27;;20r;Noël;;;Th;;3;"[,,,aa{a}/] {,a1} '[,,a{,,a}] V[,,b{4}1] | [,,de{a}2] [,,ff1] | \
'[,,de{7}2] [,,bc1] | '[,,a{a}1] [a{,a}] [,,a{a}] | \
[,,b{4}1] '[a{,,,a}3/2] ,d/ | [,daa{a}1] {7}2 || \
[,d{a}1] '[,c,,a] V[,d,,c] |"
28;;20v;Noël [Laissons paître nos bêtes];;;Th;;6/4;",,,,a1 | X[,d{a}2] [ac,,a1] '[,,aa{a}2] ,,a1 | \
V[,,b{4}3] '[a{,,,a}2] [a,,,a1] | [,d,,c2] [,c,,a1] [,a,,,e3/2] ,c/ ,d1 | \
'[,c,,a2] [,a,,,d1] [,,,,ac2] [,,,,aa1] | \
[,d{a}2] [a{,a}1] '[,,aa{,,a}2] [,,a{,,,a}1] |"
29;;20v;Le marié et la mariée;;;Th;;C;"X[,ed{7}3/2] ,c/ [,d{a}] a ,,a d | [,,d{,a}1] ,,d [,,f{,,a}3/4] ,,h/4 ,,i1 | \
'[,,h{,,,a}1] {4}3/4 ,,f/4 [,,,h{5}1] ,,,h | \
[,,i{7}1] (,,f/ ,,d) [,,f{4}1] ([,,d{,,,a}/] ,,b) |"
30;;21r;Dance Allemande;;;Th;;C;",,,,a1 | [,,,a{a}1] ,,,,a '[,,,,,c{7}] ,,,,a | \
[,,,a{a}1] ,,,,a '[,,,,,c{7}] [,d{a}] | \
[a{,a}1] [c{a}] ([d{4}/] c) ([a{,,,a}] c) | \
([,d{7}/] ,c) ,d a ,d1 ,,,,a |"
31;;21v;Entrée de Proserpine;LULLY, Jean-Baptiste Proserpine: Entrée;LWV 58/84;Th;;6/4;"X[,d{7}3/2] ,c/ V,d1 ,,,,a [,d{a}] ,,,,a | \
[,d,a1] ,d/ [a,,,e] [,,aa1] [a,,,a] [,,aa] [,,b,a] | \
'[,,aa/] a [,d{a}] a ,,a ,,,f \
[,,,h{,a}] ,,,g ,,,h ,,f ,,h ,,,h |"
32;;22r;Les Fanatiques;;;Th;;C;"[,d{a}1] (,,b/ ,,a) | [a,,,a1] [,d,,c] [a,,,,d] '[,c,,a] | \
V[,d,,,c1] a/ ,,a [,,b,,a1] [,,a{a}] | \
'[a{,a}1] [,d{,,a}] '[a{,,,a}2] | V[,d{7}2] || [,,,a{a}1] ,,a |"
33;;22v;Fanatiques;;;Th;;C;"[,,,aa{a}2] [,,dc{,a}] | '[,,aa{a}3] V[,,b,,a1] | \
[,,d,,c1] [,,b,,d] '[,,a,a] a | ([,,b{a}/] ,,a) (,,,c ,,,a) [,,b,,d1] ,,a | \
'[a,,,a1] [,d,,c] [,,b{4}] ,,a |"
34;;22v;Biriby;;;Th;;6/4;",,,a1 '[,,a{a}2] [,,b,,a1] | [,,d,,(c1] [,,,,,a)] [,,d{a}] [,,d{,a}] {,,a} {,,,a} | \
[,,d{a}1] ,,,,,a [,,d,,c] [,,f,,d2] [,,d,,c1] | \
'[,,b,,a2] [,,a{a}1] '[a{,,,a}3] | V[,d{7}2] ||"
35;G dur;23r;La Guinguette;;;Th;Conc_2496;C;"[,,d{7}1] | '[,,a{a}2] '[a{,,,a}] | V[,d{7}2] {a}1 [,,,,a{,a}] | \
[,d{,,a}1] [a{,a}] '[,,a{,a}] V[,,b,,a] | \
[,,d,,c1] ,,,,,d [a,,,a] [,,d{,,,a}] | '[,,aa{a}2] '[a{,,,a}] | \
V[,d{7}2] {a}1 [,,,,a{,a}] |"
36;G dur;23v;Menuet Rondeau;;;Th;Conc_255;3;"X[,d{a}3/2] ,c/ V,d1 | '[a{,a}1] a/ ,,a [,d{,,a}1] | \
[,,a{a}1] ([,,b{7}/] ,,a) (,,,c ,,,a) | \
[a{,,,a}/] ,d a ,,a [a,,,a1] | X[,d{a}3/2] ,c/ V,d1 |"
37;G dur;24r;Muzette de Visée Rondeau;R. de Visée;;Th;Conc_4616;6/4;"[,,aa{a}3/4] ,,b/4 ,,d/ | '[,,bc{,a}3/2] [,,aa{a}3/4] d/4 ,,a/ | \
'[a{,,,a}1] ,d/ '[,c,,a1] [,d,,c/] | \
[a,,,e1] ,,,,a/ [,,aa{a}3/4] d/4 ,,a/ | \
'[a{,,,a}3/2] [,,a{a}3/4] ,b/4 ,d/ |"
38;G dur;24v;Air de Mr delulle;;;Th;;6/4;"[,,d{a}1] '[,,,e{7}] ,,,a | ,,,,a1 X[,d,,,c] {a} [ac,,a{,,,a}3/2] ,,a/ [,,b,a1] | \
'[,,aa1] [,,,ac] ,,,,,d3/4 ,,a/4 [,,b,,a1] '[,,a,a3/2] a/ | \
'[,,,bc1] [,a,,,d] [a,,,,a] [,,ab{,,a}3/2] ,,c/ [,,d,c1] |"
39;a moll;25r;Prelude de Visée A. Bemol;R. de Visée;;Th;Conc_5215;none;"{6}3/2 (,a/4 ,c ,e) a ,,a V[,,b,,a1] {6}3/2 (,,d/4 ,,b ,,a) a (,,a ,,b) a \
X[,,f{1}1] {7}3/2 ,,g/4 (,,f ,,d)"
40;a moll;25v;Allemande de Visée;R. de Visée;;Th;Conc_2584;C;"a/ | [aabcc{6}2] z/ ,e/ a ,,a | '[da,,,a1] ,,a/ a X,,f1 {,,a} | \
{,a}1 ,,f/ a X,,d1 {,,,a} | {,,a}1 ,,,b/ ,,d ,,,c ,,b {4}1 |"
41;a moll;26v;Courante de Visée;R. de Visée;;Th;Conc_2479;2/3;"a/ | [aa{6}1] (,,,,,a/ ,,,,,c ,,,,,d1) [aa,c,e] ',,,a3/2 a/ | \
'[,b,,a1] {,,,a}3/4 ,d/4 '[,a,,,a1] [,a{,a}] [aa{,a}] ,,,,a/ ,,a | \
'[,e{,,a}3/2] a/ [ce{,,,a}1] [df{4}] '[,ed{5}3/2] ,,f/ |"
42;a moll;27r;Sarabande de Visée;R. de Visée;;Th;;3;"X[,,bc{6}1] [,,de] [,,ff,a] | '[,,fg{6}3/2] ,,f/ [,,gh{,,,a}1] | \
[ac,,a1] [ce] [,,bc{4}] | '[cb{,,,a}3/2] a/ '[,e{,,a}1] | \
[,ef3/4] f/4 'd3/4 ,,a/4 [aVf{,a}3/4] {,,a}/4 |"
43;a moll;27v;Menuet anglois;;;Th;;3;"[aVf,,,a2] '[,e{,,a}1] | ([aa,,,a/] c) d1 [c{a}] | \
[a{,a}1] '[,,,b{,,a}] V[,,,c,a] | [,,a{,,a}/] ,,,c ,,a (,,b ,,a1) | \
[,,,,c{4}2] '[,,,,a{5}1] | [,,,,,d{6}1] a {4} |"
44;a moll;28r;Gavotte de Visée;R. de Visée;;Th;;C;"[aa,,,a/] ,,a d ,,d | '[c{a}1] ,,f3/4 ,,g/4 [a,'d{,a}3/2] ,,f/ | \
X[,,f{,,a}1] [,ef] '[,ea] {,,,a}3/4 ,e/4 | \
[aVf{4}1] [,,ab{5}] V[,,bc{6}/] (,,d ,,a) ,,b |"
45;a moll;28v;Chacone de Visée Rondeau;R. de Visée;;Th;Conc_2491;3;"{6}/ ,a a c | [da,,,a1] '[cb{a}] ,a/ d | [ab{,a}/] {a} {,a} {,,a} {,,,a} a | \
,,a/ d '[,e{,,a}3/2] a/ | [aVf,,,a2] ||"
46;;29v;Rondeau de Phaeton Menuet;;LULLY, Jean-Baptiste Phaeton (LWV 61) Rondeau (LWV 61/48);Th;;3;"[,,ffh1] ,,g ,,f | [,,db1] '[,,b,c] ,,a | [da,,,a1] (f/ d) (c a) | \
'[,,a{,,a}1] {,,,a} [,,a{,,a}] | [,,f{4}1] '[,,d{5}] [,,,f{6}] | \
[a,g{,,,a}1] (,,f/ ,,d) ([,,b{,,a}] ,,a) |"
47;;30r;ma mere marie moy;;;Th;;C;"[aa,,,a1] a | [,,ff{6}1] ,,f [,,de] [,,ff] | \
'[,,bc,a1] (,,a/ ,,b) [,,d,,c1] (,,b/ ,,a) | \
[,,f,,d2] ([,,d,,a3/2] ,,b) | '[,,a{,,a}2] || [,,abc1] ,,a |"
48a;;30v;Folies d'Espagne;;;Th;Conc_525;3;"[aa,,,a1] [aabcc{6}3/2] ,,a/ | '[,e{,,a}3/2] ,c/ V,e1 | \
[aa,,,a1] '[a{6}3/2] a/ | V[c{a}1] [cdaa{7}2] | \
X[,,b{4}3/4] ,,b/4 [,,bacd3/2] ,,d/ | \
'[,,aa{a}1] {,a}/ ,,a ([,,b{,,a}] ,,a) |"
48b;;30v;2me couplet;;;Th;;3;"[a,,,,a/] ,a a d 'c a | '[,e{,,a}/] {,a} {,,a} {,,,a} {4} {5} | \
[a{6}/] ,a a c Vd a |"
48c;;31r;3me coupl;;;Th;;3;"[,,bc,a1] [,,bc{6}3/2] ,,d/ | '[,,a{,,a}3/2] ,,,c/ ,,a1 | \
[,,bc,a1] '[,,bc{6}3/2] ,,b/ | [,,de{a}1] [,,de{7}2] | \
[,,f{4}3/4] ,,f/4 [,,ff,d3/2] ,,g/ | \
'[,,de{a}1] {,a}3/4 ,,d/4 ([,,f{,,a}/] ,,d) |"
48d;;31v;4me couplet;;;Th;;3;"[,,,f,a/] ,,a ,,,f ,,f ',,d ,,b | '[,,a{,,a}] {,a} {,,a} {,,,a} {4} {5} | \
[,,,f{6}/] ,,a [,,,f,a] ,,d ,,f ,,,f |"
48e;;31v;5me;;;Th;;3;"[aa,,,a1] (a/4 c d/) ',c ,a | '[,,,b{,,a}/] ,a (,,,b/4 ,,,c) ,,a/ [,,,c{,,a}] ',,,b | \
V[,,,c,a1] ,,,c/ (,,a/4 ,,b ,,d ,,b ,,a) a |"
48f;;32r;6.me couplet;;;Th;;3;"[aabcca3] | [caabc{,,a}3] | [aabcca2] ,c1 | [cdaaa{a}3] | \
[dabacd{4}3] | [cdaaa{a}3] | [aabcca3] | [caabc{,,a}3] | \
[aabcca3] | [caabc{,,a}3] | [aabcca2] ,c1 | \
[cdaaa{a}3] | [dabacd{4}3] :||"
49;;32v;rondeau;Campra;;Th;Conc_191;3;"[a{6}1] | X[,,ff,a2] ,,g1 | ',,f1 a [,,abc] | V[,,bcca2] [,,db1] | \
'[,,bc,a1] a ,a | [,b,,ac1] ',a [,,,,a{a}] | [,a,,,d1] [,c,,,c] [,d,,,a] | \
[,c,,a1] [,,,b,d] [,,,c,c] |"
50;;33r;Rondeau;Campra;;Th;Conc_191;3;"[aa,,,a1] | X[,,f{6}] [,,g{5}1] | '[,,f{4}1] a [,,ab{5}] | \
V[,,bc{6}2] [,,d{,,a}1] | '[,,b,,a1] a ,a | [,b{6}1] ',a [,,,,a{5}] | \
[,a{4}1] ,c [,d{6}] | '[,c{,,,}/] {4} [,,,b{5}1] V[,,,c{6}] |"
51;;33v;air de Ballet;LULLY, Jean-Baptiste; Ballet de Flore (LWV 40) Air;Th;;3;"X[,,bc,a3/2] ,,a/ 'a1 | [,,fe{a}3/2] ,,f/ '[,,d{,a}1] | \
[,,f{,,a}/] {,,,a} [ac{4}1] [,,ab{5}] | V[,,bc{6}3/2] ,d/ [,d{,,a}1] | \
[a,,,,d1] '[,b{,,,a}] ,,,,,c3/4 ,a/4 | \
[,a,,,d1] ,,,,,e3/4 ,c/4 V,d1 |"
52;;34r;air de galateé;LULLY, Jean-Baptiste; Acis et Galatée Air;Th;;3;"[aa{6}1] | [,,ff,a3/2] ,,d/ ,,b1 | ',,a1 V,,b [a,,,,a] | \
'[,,,bc3/2] a/ [,,a,a1] | [,a,,,d1] X,,b ,,,,,a | \
[ab,,d1] ,,d ,,,,a | '[,,aa{a}2] [,,,h{,a}1] |"
53;;34v;menuet;MOURET, Jean-Joseph Menuet;;Th;;3;"[,,,c,a1] (,,b/ ,,a) ([,,,c{,,a}] ,,,b) | V[,,,c{6}1] [,,ab] V[,,bc,a] | \
[,,d,,c1] '[,,b,,a2] | [,,a{,,a}/] ,,,c ,,a (,,b ,,a)  ,,b | \
[,,,c,a1] (,,b/ ,,a) ([,,,c{,,a}] ,,,b) |"
54;;35r;menuet;MOURET, Jean-Joseph Menuet;;Th;;3;"[,,fg,a1] (,,,h/ ,,,g) ,,a c | [,,a{,,a}1] (,f/ ,e) ([,c,,a] ,a) | \
[a,,,,e1] '[,,,b,c] V[,,,c,a] | \
[,,a{,,a}/] ,,,c ,,a ,,c ([,,d,a] ,,a) |"
55;;35v;Le Beau Berger;;;Th;Conc_2527;C;"[caabc2] | V[,,bcca1] {a}3/4 ,,a/4 [a{,a}1] '[,e{,,a}] | \
[aVf,,,a1] {6} [caabc{,,a}2] | V[,,bcca1] '[,,a{,,,a}3/4] a/4 '[,e{,,a}1] [a{,a}3/4] ,,a/4 | \
'[,,a{,,a}1] [aa,,,a] ||"
56;;35v;Brunette [J'ai passé deux jours];;;Th;Conc_5224;C;"a/ [caabc1] {,,a}3/4 ,,a/4 | V[,,bcca/] ,,a a ,,a '[,,a,d{,,,a}3/2] a/ | \
'[,,,bc{,,a}3/2] a/ [caabc1] {,,a}3/4 (,,a/4 ,,b ,,d) | \
'[,,b,,a1] {,,,a}3/4 ,,a/4 '[,,a{,,a}3/2] a/ |"
57;;36r;ou este Vous allé;LULLY, Jean-Baptiste Trios de la Chambre du Roi (LWV 35) Ou êtes vous allé;LWV 35/11;Th;;2;"a/ [aa,,,a] [,,ab] V[,,bc] [,,de] | [,,ff{6}/] {5} {4} [,,f{6}] '[,,ea{5}] ,,f ,,g (,,f/4 ,,d) | \
[,,ff{4}1] X[,,bac] [,,de{,a/}/] \
[,,fg{,,a}] [,,gh{,,,a}] [,,de] |"
58;a moll;36v;Noel;;;Th;;3;"a/ | X[,,ff,a3/2] ,,f/ '[,,aa] ,,b | [,,d,e1] ,,d3/4 ,,,,a/4 ,,,,d3/4 a/4 | \
V[,,bc{,a}3/4] {,,a}/4 {,,,a}3/4 ,,d/4 '[,,a{,,a}3/4] d/4 | \
([ca,,,a/] a) {6}3/2 ||"
59;a moll;36v;A la venue de Noël;;;Th;Conc_2526;C;"[aVf,,,a1] '[,e{,,a}3/4] a/4 | ,,a1 [,,abc] V[,,bcca] ([,,b{6}/] ,,d) | \
'[,,a{,,a}1] (,,,,c/ ,,,,a) [aa,,,d1] '[,,,b,c3/4] [,,,c,a/4] | \
[,,aac{,,a}/] ,,,,e ,,,a [a,,,,a] [,d,,,c1] '[,c{5}] |"
60;A dur;37r;Prélude de Viseé;R. de Visée;;Th;Conc_5216;none;"{6}3/2 a/4 (,e ,c ,a) ,,,,a (,,,,,e ,,,,,c ,,,,,a1) {6} \
[aaccca2] [,,fg{6}3/4] ,,f/4 X[,,fgha1] {6} [ced,,a2] \
{6}3/4 a/4 [aaccca3/2] a/"
61;A dur;37v;Allemande de Viseé;R. de Visée;;Th;Conc_4619;C;"a/ | [aaccc{6}2] ,,,,,a/ ,,a 'e3/4 f/4 | [,,f,,a1] [,,fg{6}] [,,hh,a] ',,f3/4 ,,,h | \
[,,fg,a1] {6}/ (,,,h ,,,f) ,,a a ,e |"
62;A dur;38v;Courante de Viseé;R. de Visée;;Th;Conc_4620;2/3;",,f/ | [,,fg,a1] {6}/ ,,d ',,c ,,a V[,,c,,a1] '[,,a{a}] {,a}3/4 a/4 | \
'[,e{,,a}3/2] a/ ,,a1 [ea,,,a] 'a3/2 ,e/ | \
'[,c,,,c3/2] ,,,,c/4 ,c ,,,,c1 X[,,d{,,a}] [,edec3/2] ,,f/ |"
63;A dur;39r;Sarabande de Viseé;R. de Visée;;Th;Conc_4622;3;"(,a/4 ,c ,e) |[a,,,,a3/4] a/4 '[,a,,,e{6}3/2] ,a/ | \
[,a,,a{a}3/4] ,,,,,e/4 [,a,,,'c{7}1] ([,a{a}/4] ,c ,e) | \
[aa{,a}3/4] a/4 ',,,,b/ ,c/4 a {5}3/4 ,,a/4 |"
64;A dur;39v;gigue de Viseé;R. de Visée;;Th;Conc_4623;6/4;"a1 X,,f2 ,,d1 | ',,c2 ,,,,c1 ,,,c ,,c [,,ab] | [a,,,e3/2] ,,a/ [,,c,c1] V[,,d,a2] [,,c,,a1] | \
'[,,a,c2] ,,,,a1 [a,,,,e3/2] ,e/ a1 |"
65;A dur;40r;gavotte de Viseé;R. de Visée;;Th;Conc_4624;C;"[a,,,,a/] ,e a ,,a | '[,e{,,a}1] {,a}3/4 a/4 [,,a{a}1] e3/4 f/4 | \
'[ea,,,a1] (c/ a) [,,c{6}] ,,a [,,c,,a] ,,d | \
'[,,a{a}1] [a{,a}3/4] ,,a/4 '[,e{,,a}3/2] a/ |"
66;;40v;[sans titre];;;Th;;3;"[a,,,,a1] ,a a | '[,e{,,a}2] [a{,a}1] | [,,a{a}3/2] ,,c/ V,,d1 | \
'[,,c,,a3/2] ,,a/ a1 | [,,f{6}1] ([,,d,,a/] ,,c ,,a) a | \
'[,,e{,,a}2] [a{,a}1] | [,,a{,,,a}1] '[,,a{,,a}2] |"
67;;41r;pastorelle couprin;;;Th;;6/8;"[,f,,,a/] ',e [,c,,,c] | [,a,,,e/] ',,,,,c [a,,,,a] '[,e{,,a}1] [a{,a}/] | \
[,,ab{,,a}/] ,,,,c [,a,,a] [a,,,,e] [,e,,,c] [a,,,,a] | \
[,,a,c/] ,a [aa,,,e/4] [,,a,a] '[,,c,c/] {,,a}3/8 ,,a/8 a/ |"
68;;41v;Les Silvains de Mr couprin;;Fragment - f. 42r vacat;Th;Conc_2496;C;",,d/ V[d{a}] | '[ac{,,,a}3/2] c/ '[cc,,a1] {,,,a}3/4 a/4 | \
[,d{,,a}1] ,,,,c/ ,c [,d,,a] a [,,a,,d] ,,b | [,,d,,c] y y y"
69;;42v;Les Silvains de Mr couprin;;ff. 44v vacat;Th;Conc_2496;C;"(,,d/ ,,b) ,,a | '[ac{,,,a}3/2] c/ '[cc,,a1] {,,,a}3/4 a/4 | \
X[,d{,,a}1] ,,,,c/ ,c [,d,,a] a [,,a,,d] ,,b | \
[,,d,,c1] ([,,f,,d/] ,,d) ([,,b,,a] ,,a) [,,b,a] a |"
